HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.gifPrefix,Answer.answer1,Answer.answer2,Answer.answer3,Approve,Reject,,,,,,
3LG268AV397CHBNF3ZZ2269NP5QERL,3R4042Q91D6QAQQL07PUNF8UE8DFFL,Rate similarity of GIFs,Rate overall similarity between the content of two GIFs,"image, gif, similarity, rate",$0.10,Mon Dec 05 07:23:52 PST 2016,25,BatchId:2618959;,1800,60,Mon Dec 12 07:23:52 PST 2016,,,30ZX6P7VF9W5BRPGSC0TMY9O5KY2JQ,AURYD2FH3FUOQ,Approved,Mon Dec 05 07:25:56 PST 2016,Mon Dec 05 07:35:01 PST 2016,Mon Dec 05 07:36:01 PST 2016,2016-12-05 15:36:39 UTC,,,545,100% (12/12),100% (12/12),100% (12/12),demonstration_,4,5,7,,,,5.28,5.08,6.04,,
3LG268AV397CHBNF3ZZ2269NP5QERL,3R4042Q91D6QAQQL07PUNF8UE8DFFL,Rate similarity of GIFs,Rate overall similarity between the content of two GIFs,"image, gif, similarity, rate",$0.10,Mon Dec 05 07:23:52 PST 2016,25,BatchId:2618959;,1800,60,Mon Dec 12 07:23:52 PST 2016,,,317HQ483I8T552U3WDDD2LXM302NIS,A37AJI03M37NPJ,Approved,Mon Dec 05 07:34:13 PST 2016,Mon Dec 05 07:35:24 PST 2016,Mon Dec 05 07:36:24 PST 2016,2016-12-05 15:36:39 UTC,,,71,100% (6/6),100% (6/6),100% (6/6),demonstration_,6,8,2,,,,2.1702534414,1.7301252363,1.8366636419,,1.9123474399
3LG268AV397CHBNF3ZZ2269NP5QERL,3R4042Q91D6QAQQL07PUNF8UE8DFFL,Rate similarity of GIFs,Rate overall similarity between the content of two GIFs,"image, gif, similarity, rate",$0.10,Mon Dec 05 07:23:52 PST 2016,25,BatchId:2618959;,1800,60,Mon Dec 12 07:23:52 PST 2016,,,33IZTU6J822ZBAB33VU04PU7ECESX9,A1ANF3U25Z0TUI,Approved,Mon Dec 05 07:34:55 PST 2016,Mon Dec 05 07:35:58 PST 2016,Mon Dec 05 07:36:58 PST 2016,2016-12-05 15:37:39 UTC,,,63,100% (12/12),100% (12/12),100% (12/12),demonstration_,5,5,5,,,,,,,,
3LG268AV397CHBNF3ZZ2269NP5QERL,3R4042Q91D6QAQQL07PUNF8UE8DFFL,Rate similarity of GIFs,Rate overall similarity between the content of two GIFs,"image, gif, similarity, rate",$0.10,Mon Dec 05 07:23:52 PST 2016,25,BatchId:2618959;,1800,60,Mon Dec 12 07:23:52 PST 2016,,,33JKGHPFYDVR1LKUHSB5UE43K9ONMA,A2S5DSZYFBFQJP,Approved,Mon Dec 05 07:41:32 PST 2016,Mon Dec 05 07:42:22 PST 2016,Mon Dec 05 07:43:22 PST 2016,2016-12-05 15:43:39 UTC,,,50,100% (12/12),100% (12/12),100% (12/12),demonstration_,7,6,3,,,,,,,,
3LG268AV397CHBNF3ZZ2269NP5QERL,3R4042Q91D6QAQQL07PUNF8UE8DFFL,Rate similarity of GIFs,Rate overall similarity between the content of two GIFs,"image, gif, similarity, rate",$0.10,Mon Dec 05 07:23:52 PST 2016,25,BatchId:2618959;,1800,60,Mon Dec 12 07:23:52 PST 2016,,,33M4IA01QH2NAVBQO6UVEFPBSATXRO,A3EBUBRYCKB6AF,Approved,Mon Dec 05 07:27:16 PST 2016,Mon Dec 05 07:36:55 PST 2016,Mon Dec 05 07:37:55 PST 2016,2016-12-05 15:38:39 UTC,,,579,100% (12/12),100% (12/12),100% (12/12),demonstration_,4,6,6,,,,,,,,
3LG268AV397CHBNF3ZZ2269NP5QERL,3R4042Q91D6QAQQL07PUNF8UE8DFFL,Rate similarity of GIFs,Rate overall similarity between the content of two GIFs,"image, gif, similarity, rate",$0.10,Mon Dec 05 07:23:52 PST 2016,25,BatchId:2618959;,1800,60,Mon Dec 12 07:23:52 PST 2016,,,3GM6G9ZBKOYPWYPEEOXH3DAV9RATMH,A2U83S62P8SZ6T,Approved,Mon Dec 05 07:42:02 PST 2016,Mon Dec 05 07:42:22 PST 2016,Mon Dec 05 07:43:22 PST 2016,2016-12-05 15:43:39 UTC,,,20,100% (8/8),100% (8/8),100% (8/8),demonstration_,8,4,8,,,,,,,,
3LG268AV397CHBNF3ZZ2269NP5QERL,3R4042Q91D6QAQQL07PUNF8UE8DFFL,Rate similarity of GIFs,Rate overall similarity between the content of two GIFs,"image, gif, similarity, rate",$0.10,Mon Dec 05 07:23:52 PST 2016,25,BatchId:2618959;,1800,60,Mon Dec 12 07:23:52 PST 2016,,,3HRMW88U17ROGPSNGM97J28QCGBM0W,A27IABVBUZ9X8Z,Approved,Mon Dec 05 07:34:48 PST 2016,Mon Dec 05 07:35:09 PST 2016,Mon Dec 05 07:36:09 PST 2016,2016-12-05 15:36:39 UTC,,,21,100% (12/12),100% (12/12),100% (12/12),demonstration_,7,5,4,,,,,,,,
3LG268AV397CHBNF3ZZ2269NP5QERL,3R4042Q91D6QAQQL07PUNF8UE8DFFL,Rate similarity of GIFs,Rate overall similarity between the content of two GIFs,"image, gif, similarity, rate",$0.10,Mon Dec 05 07:23:52 PST 2016,25,BatchId:2618959;,1800,60,Mon Dec 12 07:23:52 PST 2016,,,3IQ1VMJRYUL5AI7BJF2V3MEJL3MA9I,AKSJ3C5O3V9RB,Approved,Mon Dec 05 07:52:31 PST 2016,Mon Dec 05 08:11:07 PST 2016,Mon Dec 05 08:12:07 PST 2016,2016-12-05 16:12:39 UTC,,,1116,100% (6/6),100% (6/6),100% (6/6),demonstration_,9,8,7,,,,,,,,
3LG268AV397CHBNF3ZZ2269NP5QERL,3R4042Q91D6QAQQL07PUNF8UE8DFFL,Rate similarity of GIFs,Rate overall similarity between the content of two GIFs,"image, gif, similarity, rate",$0.10,Mon Dec 05 07:23:52 PST 2016,25,BatchId:2618959;,1800,60,Mon Dec 12 07:23:52 PST 2016,,,3KKG4CDWKJZQ8TRUAES4QJSJTTI49T,APWBUB0PDRLS5,Approved,Mon Dec 05 07:25:52 PST 2016,Mon Dec 05 07:26:20 PST 2016,Mon Dec 05 07:27:20 PST 2016,2016-12-05 15:27:39 UTC,,,28,100% (12/12),100% (12/12),100% (12/12),demonstration_,4,5,7,,,,,,,,
3LG268AV397CHBNF3ZZ2269NP5QERL,3R4042Q91D6QAQQL07PUNF8UE8DFFL,Rate similarity of GIFs,Rate overall similarity between the content of two GIFs,"image, gif, similarity, rate",$0.10,Mon Dec 05 07:23:52 PST 2016,25,BatchId:2618959;,1800,60,Mon Dec 12 07:23:52 PST 2016,,,3KYQYYSHYW86FCET5ECFQDHE152OD9,A1EGJ0KJG2QFB4,Approved,Mon Dec 05 07:45:23 PST 2016,Mon Dec 05 07:45:33 PST 2016,Mon Dec 05 07:46:33 PST 2016,2016-12-05 15:46:39 UTC,,,10,100% (11/11),100% (11/11),100% (11/11),demonstration_,2,4,8,,,,,,,,
