HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.gifPrefix,Answer.answer1,Answer.answer2,Answer.answer3,Approve,Reject,,average1,average2,average3,,average(average),,stddev1,stddev2,stddev3,,average(standard)
3Y7LTZE0YUN28Y6S3G8KSRXP5QJZUD,3J684U0BLNQ22QIBMB1UNL8IG2DGGK,Rate similarity of GIFs,Rate overall similarity between the content of two GIFs,"image, gif, similarity, rate",$0.10,Tue Apr 04 10:26:40 PDT 2017,25,BatchId:2752176;,1800,60,Tue Apr 11 10:26:40 PDT 2017,,,3180JW2OT5DXAO83AV2RK5C12UDJ5B,A2MKXI4KCRRI7Y,Approved,Tue Apr 04 10:34:35 PDT 2017,Tue Apr 04 10:34:58 PDT 2017,Tue Apr 04 10:35:58 PDT 2017,2017-04-04 17:36:06 UTC,,,23,100% (3/3),100% (3/3),100% (3/3),demonstration_,7,4,5,,,,5.04,5.16,4.32,,4.84,,1.6703293088,1.598957994,1.9087517736,,1.7260130255
3Y7LTZE0YUN28Y6S3G8KSRXP5QJZUD,3J684U0BLNQ22QIBMB1UNL8IG2DGGK,Rate similarity of GIFs,Rate overall similarity between the content of two GIFs,"image, gif, similarity, rate",$0.10,Tue Apr 04 10:26:40 PDT 2017,25,BatchId:2752176;,1800,60,Tue Apr 11 10:26:40 PDT 2017,,,323Q6SJS8JHTLF62S7CFU4NZEWMFHK,A2ALWT2BUSXD83,Approved,Tue Apr 04 10:29:41 PDT 2017,Tue Apr 04 10:30:41 PDT 2017,Tue Apr 04 10:31:41 PDT 2017,2017-04-04 17:32:06 UTC,,,60,100% (1/1),100% (1/1),100% (1/1),demonstration_,4,3,3,,,,,,,,,,,,,,
3Y7LTZE0YUN28Y6S3G8KSRXP5QJZUD,3J684U0BLNQ22QIBMB1UNL8IG2DGGK,Rate similarity of GIFs,Rate overall similarity between the content of two GIFs,"image, gif, similarity, rate",$0.10,Tue Apr 04 10:26:40 PDT 2017,25,BatchId:2752176;,1800,60,Tue Apr 11 10:26:40 PDT 2017,,,35H6S234SB1LMTTWQC82B17WGO065Z,A27PVIL93ZMY46,Approved,Tue Apr 04 11:40:38 PDT 2017,Tue Apr 04 11:41:30 PDT 2017,Tue Apr 04 11:42:30 PDT 2017,2017-04-04 18:43:06 UTC,,,52,100% (2/2),100% (2/2),100% (2/2),demonstration_,3,8,7,,,,,,,,,,,,,,
3Y7LTZE0YUN28Y6S3G8KSRXP5QJZUD,3J684U0BLNQ22QIBMB1UNL8IG2DGGK,Rate similarity of GIFs,Rate overall similarity between the content of two GIFs,"image, gif, similarity, rate",$0.10,Tue Apr 04 10:26:40 PDT 2017,25,BatchId:2752176;,1800,60,Tue Apr 11 10:26:40 PDT 2017,,,3C6FJU71TRU4QSTHXWB224J5EFFYU2,A31Z5TPD8QKE26,Approved,Tue Apr 04 10:41:13 PDT 2017,Tue Apr 04 10:42:15 PDT 2017,Tue Apr 04 10:43:15 PDT 2017,2017-04-04 17:44:06 UTC,,,62,100% (3/3),100% (3/3),100% (3/3),demonstration_,4,6,2,,,,,,,,,,,,,,
3Y7LTZE0YUN28Y6S3G8KSRXP5QJZUD,3J684U0BLNQ22QIBMB1UNL8IG2DGGK,Rate similarity of GIFs,Rate overall similarity between the content of two GIFs,"image, gif, similarity, rate",$0.10,Tue Apr 04 10:26:40 PDT 2017,25,BatchId:2752176;,1800,60,Tue Apr 11 10:26:40 PDT 2017,,,3G5F9DBFOQYIHCSSSMHJCQQL2QEVHS,A1NM7ZPZ3NH412,Approved,Tue Apr 04 11:13:11 PDT 2017,Tue Apr 04 11:14:11 PDT 2017,Tue Apr 04 11:15:11 PDT 2017,2017-04-04 18:16:06 UTC,,,60,100% (3/3),100% (3/3),100% (3/3),demonstration_,5,4,6,,,,,,,,,,,,,,
3Y7LTZE0YUN28Y6S3G8KSRXP5QJZUD,3J684U0BLNQ22QIBMB1UNL8IG2DGGK,Rate similarity of GIFs,Rate overall similarity between the content of two GIFs,"image, gif, similarity, rate",$0.10,Tue Apr 04 10:26:40 PDT 2017,25,BatchId:2752176;,1800,60,Tue Apr 11 10:26:40 PDT 2017,,,3GDTJDAPVVC6YEXQBQMMCHE98E98M6,A1U5BE8XJRXKW3,Approved,Tue Apr 04 10:33:04 PDT 2017,Tue Apr 04 10:33:26 PDT 2017,Tue Apr 04 10:34:26 PDT 2017,2017-04-04 17:35:06 UTC,,,22,100% (3/3),100% (3/3),100% (3/3),demonstration_,7,6,1,,,,,,,,,,,,,,
3Y7LTZE0YUN28Y6S3G8KSRXP5QJZUD,3J684U0BLNQ22QIBMB1UNL8IG2DGGK,Rate similarity of GIFs,Rate overall similarity between the content of two GIFs,"image, gif, similarity, rate",$0.10,Tue Apr 04 10:26:40 PDT 2017,25,BatchId:2752176;,1800,60,Tue Apr 11 10:26:40 PDT 2017,,,3HWRJOOET63Q5AKM8Q48G091B6OSE0,A1RWNYJA5X25YH,Approved,Tue Apr 04 10:30:24 PDT 2017,Tue Apr 04 10:31:21 PDT 2017,Tue Apr 04 10:32:21 PDT 2017,2017-04-04 17:33:06 UTC,,,57,100% (2/2),100% (2/2),100% (2/2),demonstration_,2,4,7,,,,,,,,,,,,,,
3Y7LTZE0YUN28Y6S3G8KSRXP5QJZUD,3J684U0BLNQ22QIBMB1UNL8IG2DGGK,Rate similarity of GIFs,Rate overall similarity between the content of two GIFs,"image, gif, similarity, rate",$0.10,Tue Apr 04 10:26:40 PDT 2017,25,BatchId:2752176;,1800,60,Tue Apr 11 10:26:40 PDT 2017,,,3J88R45B2HZ2YIVBBEQ69KPX4SSPXQ,A3F90N8YVKJ4I7,Approved,Tue Apr 04 10:28:37 PDT 2017,Tue Apr 04 10:30:39 PDT 2017,Tue Apr 04 10:31:39 PDT 2017,2017-04-04 17:32:06 UTC,,,122,100% (3/3),100% (3/3),100% (3/3),demonstration_,8,3,4,,,,,,,,,,,,,,
3Y7LTZE0YUN28Y6S3G8KSRXP5QJZUD,3J684U0BLNQ22QIBMB1UNL8IG2DGGK,Rate similarity of GIFs,Rate overall similarity between the content of two GIFs,"image, gif, similarity, rate",$0.10,Tue Apr 04 10:26:40 PDT 2017,25,BatchId:2752176;,1800,60,Tue Apr 11 10:26:40 PDT 2017,,,3JZQSN0I3RBFLJBR81UX94BYZWAGFN,A1EYJNJFSRMDWW,Approved,Tue Apr 04 10:33:31 PDT 2017,Tue Apr 04 10:45:06 PDT 2017,Tue Apr 04 10:46:06 PDT 2017,2017-04-04 17:47:06 UTC,,,695,100% (3/3),100% (3/3),100% (3/3),demonstration_,3,3,2,,,,,,,,,,,,,,
3Y7LTZE0YUN28Y6S3G8KSRXP5QJZUD,3J684U0BLNQ22QIBMB1UNL8IG2DGGK,Rate similarity of GIFs,Rate overall similarity between the content of two GIFs,"image, gif, similarity, rate",$0.10,Tue Apr 04 10:26:40 PDT 2017,25,BatchId:2752176;,1800,60,Tue Apr 11 10:26:40 PDT 2017,,,3NOKK93PR29PVRF47VK3RJ5MAFMEES,A1GFXYY05FGKH7,Approved,Tue Apr 04 11:33:22 PDT 2017,Tue Apr 04 11:33:43 PDT 2017,Tue Apr 04 11:34:43 PDT 2017,2017-04-04 18:35:06 UTC,,,21,100% (3/3),100% (3/3),100% (3/3),demonstration_,6,5,2,,,,,,,,,,,,,,
