[(0.51147640756877921, 0.73147315237205168)]
[(0.25990769641249578, 0.73717545149827579)]
[(0.51746071002052174, 0.83998350079326145)]
[(0.24393435474192876, 0.66619063098473008)]
[(0.48391420046848149, 0.90855792547530967)]
[(0.51634223687266179, 0.8126385426109235)]
[(0.54912082149861641, 0.8040482839731149)]
[(0.47907368655228094, 0.77707084213590016)]
[(0.62668836435181396, 0.85549143259277072)]
[(0.57550487611611145, 0.8537648657448158)]
[(0.41592742570008867, 0.65434485452262803)]
[(0.36744699356582033, 0.76627487989625309)]
[(0.44471725486760638, 0.81247942248017069)]
[(0.43346328782703197, 0.79331852369605715)]
[(0.70670730083362154, 0.91548459331055232)]
[(0.38365612825840173, 0.76361723768478085)]
[(0.37139414027388523, 0.73857229510324662)]
[(0.55435554053424529, 0.92076585496625973)]
[(0.44885665785925377, 0.7753203268616663)]
[(0.40875837814127713, 0.74469329461014566)]
[(0.41298450978996565, 0.78751373613527698)]
[(0.53235574632171623, 0.79737801225277816)]
[(0.25553266864218543, 0.68924142317873049)]
[(0.40042425335352855, 0.78836941906729996)]
[(0.45505729830900299, 0.74666493904694986)]
[(0.49524834876106816, 0.77627854444771749)]
[(0.44380041792061203, 0.75600609795324325)]
[(0.66033906882929883, 0.87970944748603164)]
[(0.56900711438031415, 0.81288270404582053)]
[(0.46095621292282918, 0.84164042521721916)]
[(0.29494681410831158, 0.7597459302490418)]
[(0.50311857014731021, 0.75571458999153751)]
[(0.46569995580719847, 0.78838716752034421)]
[(0.28852897243853698, 0.71038596330888959)]
[(0.42562356977896737, 0.73887485266616404)]
[(0.43674690581140896, 0.71397164542842095)]
[(0.42825383313852111, 0.79792392378395505)]
[(0.43607445692832114, 0.96099301328198683)]
[(0.34315715896318677, 0.71997068696383393)]
[(0.37664452214866567, 0.73370654875890251)]
[(0.43403990703203593, 0.74768172014980816)]
[(0.72266302385121839, 0.91516104439986079)]
[(0.50570763814204922, 0.78303358242434873)]
[(0.23821300970833648, 0.66394994977906319)]
[(0.47697556712830791, 0.7573746855765735)]
[(0.37711872309908312, 0.74489956176892091)]
[(0.36413213618733747, 0.68967462489571407)]
[(0.65154414210865297, 0.85912871899189658)]
[(0.47385326426301344, 0.81244088181701202)]
[(0.16142762168269467, 0.78853155565019695)]
[(0.57644982737021466, 0.93528846961966772)]
[(0.54597735533756631, 0.76781069311241767)]
[(0.19680360591059018, 0.66141499269290005)]
[(0.55483720209828391, 0.80042207856225867)]
[(0.50023222931899147, 0.77326717598145089)]
[(0.34209279976465878, 0.67410112945044998)]
[(0.64601465961794835, 0.84328063541045029)]
[(0.6916389636380792, 0.83836267158529665)]
[(0.4292462362952314, 0.75124203997372385)]
[(0.30693576481328816, 0.68959980060463655)]
[(0.43218165682064097, 0.74344150259010722)]
[(0.2677814719111079, 0.68861670737559799)]
[(0.41797214546418859, 0.72365889506829173)]
[(0.44321016898415, 0.77351804379544375)]
[(0.43979952648508214, 0.75921335861264461)]
[(0.440319320587512, 0.73136542163543716)]
[(0.42201597943243291, 0.71767082493158718)]
[(0.5396644453288052, 0.77706152445660592)]
[(0.43547730150219588, 0.74637567277761474)]
[(0.40119357118965221, 0.72638496585892476)]
[(0.62571911995575857, 0.89459851519431621)]
[(0.47688967513814123, 0.88814605801182644)]
[(0.57527376833683586, 0.86092368347295689)]
[(0.71153975822985194, 0.89804463304884785)]
[(0.62074323277720755, 0.86210791168666745)]
[(0.42543397366690849, 0.83457066271990032)]
[(0.5434910826020618, 0.80873972133000993)]
[(0.48834423419818818, 0.76520557284297275)]
[(0.3852002204677345, 0.73160091063244193)]
[(0.54656449182681244, 0.86083141271187347)]
[(0.57014651784000836, 0.7678101956717408)]
[(0.62024049822466287, 0.83641948031484425)]
[(0.48865775179429899, 0.86090785814314064)]
[(0.57973302848404018, 0.78847847006411231)]
[(0.26301631407013776, 0.72623441765994246)]
[(0.54234757592762117, 0.79320945799136067)]
[(0.63661155752258036, 0.9247607124717333)]
[(0.51210065438535213, 0.80419443035988469)]
[(0.34732733197529125, 0.73325876529993683)]
[(0.60779680710867434, 0.78623602482244803)]
[(0.50272503866427654, 0.75892900159274013)]
[(0.42542544299550533, 0.72820532534882143)]
[(0.62815990064366567, 0.89375950279363381)]
[(0.44473616249104203, 0.76455519604963407)]
[(0.54739666733109393, 0.75608727383199448)]
[(0.277504088220969, 0.71757951816114363)]
