[(0.64957590473301807, 0.87123023835532065)]
[(0.49821813624336114, 0.77656523907597041)]
[(0.67529841514008326, 0.85694294628901568)]
[(0.50492054196984515, 0.81242793532720037)]
[(0.42397187096847777, 0.69596782857209294)]
[(0.73722716742864136, 0.9175242956906684)]
[(0.66795346389548549, 0.8243545839629155)]
[(0.70032098279167088, 0.8969702062405206)]
[(0.59473558910603286, 0.84037082905095584)]
[(0.48660150036148198, 0.73797751000928669)]
[(0.69541083542043003, 0.87319797108914088)]
[(0.55935111898014689, 0.80893293685569856)]
[(0.57672187334341529, 0.77857880653705602)]
[(0.70533163965495538, 0.88605154428175315)]
[(0.41635280728391472, 0.73791070117827673)]
[(0.5627590917447548, 0.89082161210384359)]
[(0.68440851892470611, 0.84087956203564407)]
[(0.63704568288429786, 0.7988827599834869)]
[(0.38166350931265197, 0.72368791642882291)]
[(0.56079192307892434, 0.86891066606626965)]
[(0.57320173277169106, 0.80917994783962732)]
[(0.20298857789228292, 0.66161231978406165)]
[(0.22479438123949497, 0.67160515733933579)]
[(0.62228392106016384, 0.83692031304761061)]
[(0.64476362282974242, 0.86870705163619466)]
[(0.56380849414205758, 0.81317927554430958)]
[(0.61130187652671741, 0.85003082942982167)]
[(0.29718533963709648, 0.67913319833142882)]
[(0.51750972563207887, 0.75051842508860656)]
[(0.65742577582285877, 0.86177873393265847)]
[(0.39288030693406895, 0.6980133899934865)]
[(0.22624804950318469, 0.66323176631201763)]
[(0.53255800143473031, 0.77367965805123551)]
[(0.5484326560104068, 0.79240789133433687)]
[(0.55120777012623723, 0.79223842790488752)]
[(0.63825740847720835, 0.87073960591066191)]
[(0.64156508921510536, 0.88578823720065236)]
[(0.40043437170879653, 0.70439798201123316)]
[(0.63640614893784775, 0.94072308698705054)]
[(0.66795974317413753, 0.87779355455638652)]
[(0.61789451905734216, 0.80390939355487956)]
[(0.57000127763086517, 0.80088458121648154)]
[(0.6526101605889616, 0.86802894545913634)]
[(0.68316569164261498, 0.86380652886786535)]
[(0.44987964669842007, 0.72760515266253645)]
[(0.51654260475057256, 0.75478936509155825)]
[(0.50160625754843646, 0.74990831177662576)]
[(0.60781920755832797, 0.81116472589609556)]
[(0.54576743022500906, 0.77580872787782384)]
[(0.69717848087916423, 0.85194411626945832)]
[(0.60034570623688921, 0.83100623773794047)]
[(0.59570769570845294, 0.77770468518983682)]
[(0.63918830298049489, 0.86991018734409342)]
[(0.73582867652494999, 0.92580479721313602)]
[(0.41691112835407995, 0.74536327302179994)]
[(0.63328673462116913, 0.83084508550823266)]
[(0.55772805153398652, 0.80813731272520906)]
[(0.62468702977782364, 0.84076751873542299)]
[(0.59171030854452589, 0.7764023734795491)]
[(0.66833243573304046, 0.8816329681982995)]
[(0.58411978411561616, 0.7911466710171704)]
[(0.43296905653526246, 0.70789437792878074)]
[(0.38588330243299129, 0.71297256993433744)]
[(0.51864543256563267, 0.75651357256594687)]
[(0.66169105121289373, 0.90952625110851504)]
[(0.58166264401845968, 0.80637002429696614)]
[(0.34493181479338453, 0.70827324882303655)]
[(0.58915341648783282, 0.83627715950645098)]
[(0.50852289118344352, 0.80320340634728815)]
[(0.44802352906300624, 0.73492718022902381)]
[(0.71342129827478618, 0.85747016822544198)]
[(0.48090027647294481, 0.76835679859035844)]
[(0.67585259621760763, 0.84294876170625177)]
[(0.53899074387438428, 0.77976760217340768)]
[(0.55205379854508263, 0.83704853746158614)]
[(0.72212429385392152, 0.89411469622673478)]
[(0.54794689634421734, 0.82524138759303289)]
[(0.4803678439411474, 0.76663176304074532)]
[(0.51344507654057903, 0.79473565487852715)]
[(0.63904118542962263, 0.8045670429608438)]
[(0.62572094407468493, 0.8069505617069932)]
[(0.31859092553394913, 0.69019870360801117)]
[(0.53382435255019989, 0.76147325629748575)]
[(0.61501904733946866, 0.80882584854146244)]
[(0.57074787085602985, 0.82261994230285185)]
[(0.36460620183794606, 0.70227970373260085)]
[(0.54584302343875757, 0.90264862115070454)]
[(0.55719839950019312, 0.7957502034028201)]
[(0.22722101200551009, 0.63081080181911064)]
[(0.53067203751744729, 0.79638386120999116)]
[(0.38544148029519421, 0.72650851386896564)]
[(0.59881983291640917, 0.81321809532150591)]
[(0.58150683013368243, 0.80249727480018995)]
[(0.64938369977145594, 0.86350081972113735)]
[(0.34654931695191499, 0.68074643123389977)]
[(0.68511612042741032, 0.87033856913504704)]
[(0.68919681313835979, 0.86802533283621408)]
[(0.52582279956128553, 0.75679153139611244)]
[(0.38896314311697855, 0.78892051452048373)]
[(0.58681952610172972, 0.84060436618526058)]
[(0.27214204992245394, 0.68315964950607266)]
[(0.58443781388103533, 0.81844686433033942)]
[(0.59618138641826834, 0.82219026771331905)]
[(0.54656640298366888, 0.77636533309575151)]
[(0.43409278142932289, 0.80865812191444819)]
[(0.48331409361801753, 0.75794417188986551)]
[(0.26192302251076688, 0.65529363334992263)]
[(0.65572177013970245, 0.90014219211108504)]
[(0.62957425067587436, 0.83526330805511995)]
[(0.32518524735514898, 0.80132660902707031)]
[(0.69955263917387767, 0.88107386645337227)]
[(0.6091622307504333, 0.79107573239452489)]
[(0.78677875269626052, 0.96098290741146153)]
[(0.51331705203485267, 0.76481496502969304)]
[(0.63353350936321606, 0.85391774125348963)]
[(0.61084205547894432, 0.82962394560925889)]
[(0.1165444278457984, 0.64483536414658427)]
[(0.64030104327876602, 0.85387890040102477)]
[(0.67122145498467323, 0.8758783629649477)]
[(0.41626154708363705, 0.74151258448331991)]
[(0.57533589172209254, 0.79989013082535965)]
[(0.5852410423846397, 0.82727687620104395)]
[(0.62717804679340061, 0.85897255491384694)]
[(0.67024536183902694, 0.86506590213660539)]
[(0.62294431933754857, 0.79094099653180094)]
[(0.4749369751747074, 0.77857605034499011)]
[(0.69539681427806843, 0.87932728818128159)]
[(0.75303300278620511, 0.90164347010175627)]
[(0.47094334237093594, 0.74728297140923061)]
[(0.60967442550998319, 0.80151992502228142)]
[(0.51987281702313359, 0.7817824198189568)]
[(0.63873768755122606, 0.87720962325579643)]
[(0.60633298981808614, 0.80254158269855236)]
[(0.67242694254501623, 0.87599356622572877)]
[(0.74498277040274041, 0.91831100630819085)]
[(0.66036316056516631, 0.89264057703894462)]
[(0.48315260772400642, 0.75592208557458207)]
[(0.44227448715710033, 0.7590862776853381)]
[(0.66390197173892895, 0.85975637981759401)]
[(0.4690361873528554, 0.75785232352106247)]
[(0.6308710582682312, 0.87938854996266891)]
[(0.67890943266530135, 0.86486010962946969)]
[(0.70842198149022384, 0.88265791298441676)]
[(0.39347176143671514, 0.71920230269478636)]
[(0.22148605442449654, 0.6597379204669821)]
[(0.45016458747397153, 0.8003753548754281)]
[(0.56532431856572563, 0.78491276544149935)]
[(0.64158577766286951, 0.85351150201597603)]
[(0.66640414025067141, 0.89491001531009362)]
[(0.59310314947493448, 0.80211325505693087)]
[(0.65829625797467006, 0.88553410469492866)]
[(0.69167450865458091, 0.89874027812612878)]
[(0.62384202424890833, 0.82944333040377116)]
[(0.46160988999153252, 0.72569961408076356)]
