[(0.43345137404615153, 0.76800598753387073)]
[(0.6839052393103322, 0.87450048002397696)]
[(0.67481908415908609, 0.90326658890209455)]
[(0.56642246916970174, 0.78461348688286148)]
[(0.32011087600731775, 0.68157487693136065)]
[(0.48501876218599499, 0.75594549889350582)]
[(0.28137368268709889, 0.66689453933047993)]
[(0.57938101191491787, 0.77710003391559368)]
[(0.51366611477472013, 0.910860191476627)]
[(0.51379803884525366, 0.79002185182386309)]
[(0.51522873556718263, 0.82189562949638084)]
[(0.4255972406729378, 0.72968770524068305)]
[(0.65898385284413075, 0.86339766193570089)]
[(0.38644510191174031, 0.70948718069410011)]
[(0.62730445058805573, 0.85884729101000334)]
[(0.63506398471371606, 0.85366481200704714)]
[(0.66092958277621894, 0.89073224739916135)]
[(0.58476675291168501, 0.85150634381619228)]
[(0.6464569776542245, 0.8409026960469822)]
[(0.48290632842826658, 0.77498085460880151)]
[(0.66324805710516299, 0.87991017796490978)]
[(0.57854537641399573, 0.82638049843464267)]
[(0.60713844027947084, 0.76333474014713354)]
[(0.45892902482108272, 0.75969234789178375)]
[(0.45950357295328909, 0.94692323538571543)]
[(0.69586760067093134, 0.90157684236644164)]
[(0.15960907655500356, 0.66682022249040063)]
[(0.66671631743072635, 0.85579327387466597)]
[(0.5458230543143181, 0.80486895693676141)]
[(0.73623934902774502, 0.89548004450025442)]
[(0.54708092481916504, 0.78171503122766706)]
[(0.49902746004042703, 0.94265292619378382)]
[(0.58588527949942093, 0.80288301714885135)]
[(0.38642194105255284, 0.73740361795498788)]
[(0.60373066277618714, 0.87277950654797454)]
[(0.53866379903987283, 0.77152979881074912)]
[(0.71494522716579256, 0.86713636644285619)]
[(0.63654849179260975, 0.85528865880191574)]
[(0.48856934958937154, 0.73640643242536585)]
[(0.33378880458756099, 0.70369939070262622)]
[(0.46832875475580799, 0.74682622182948877)]
[(0.65322950893229925, 0.86166175908480536)]
[(0.57481601840060625, 0.76901265061728996)]
[(0.60383521293262443, 0.84101222247652108)]
[(0.4730599001054529, 0.73073285340500127)]
[(0.68576428965544967, 0.86998438541834089)]
[(0.66839170788096858, 0.87371904840131431)]
[(0.45595884480300514, 0.71533838072298084)]
[(0.58823963757386211, 0.81253625129829077)]
[(0.41307848424895005, 0.77084324132992044)]
[(0.63839937897965526, 0.83401934523443266)]
[(0.34722818911317183, 0.70853730139415227)]
[(0.45882209326818962, 0.73879572653583303)]
[(0.4820672823682276, 0.73392870676987276)]
[(0.61407282027231924, 0.82208533465599853)]
[(0.28487843714218281, 0.6785359629619524)]
[(0.47513923255760987, 0.77072015227010149)]
[(0.62178710310932683, 0.83905171558278113)]
[(0.49127417686865915, 0.72923916323074212)]
[(0.64410684558990472, 0.87327460696790538)]
[(0.21654039563173816, 0.659546407947878)]
[(0.65091319458107333, 0.8549546380397034)]
[(0.5354614813036902, 0.78757730415237726)]
[(0.54677014416919001, 0.79947875918276601)]
[(0.65772406585185905, 0.87110541585427648)]
[(0.20771866906755682, 0.66117889547688957)]
[(0.61303563936412986, 0.84861636995881218)]
[(0.40693376266360881, 0.73318340609929067)]
[(0.54959947580981916, 0.77202546871176958)]
[(0.50513621748234849, 0.78613572971200318)]
[(0.64127888803063671, 0.84784852399360211)]
[(0.47946786016368875, 0.78721429362381046)]
[(0.52801346415425399, 0.90203095012882517)]
[(0.65665763478146189, 0.84567789884015843)]
[(0.69554455474480659, 0.87865102297865394)]
[(0.6417885279070652, 0.88183908212003936)]
[(0.20761628131003595, 0.63965788557737058)]
[(0.24887278866668877, 0.68272428950148778)]
[(0.44500969338562407, 0.71513665640021229)]
[(0.6022924860665162, 0.80473614989304154)]
[(0.56978305128046358, 0.82929218253146508)]
[(0.57905620570360028, 0.7764363580145619)]
[(0.54816690897232434, 0.75239469137823245)]
[(0.53087176160031391, 0.7509079278274805)]
[(0.54149344117333398, 0.7488199817159843)]
[(0.51802481580686932, 0.76894348025627857)]
[(0.50860168111053095, 0.76568436708605536)]
[(0.28817861911621134, 0.72520108728324029)]
[(0.63006162845879177, 0.7906875585469656)]
[(0.68783697899412344, 0.86136263121247225)]
[(0.57506000709462479, 0.81596462062369968)]
[(0.65245349457979707, 0.8460391149203228)]
[(0.57336163114713579, 0.8442119270060463)]
[(0.56189926273504465, 0.77931404770040247)]
[(0.52965673489573561, 0.80065429514477626)]
[(0.30918692642498385, 0.68882211216172395)]
[(0.63082539495456558, 0.83566004336845612)]
[(0.35777582011785092, 0.71321956069006165)]
[(0.67543093712309221, 0.88962719129587675)]
[(0.64946207470237227, 0.89889368145790371)]
[(0.62108849399862553, 0.82670493126434375)]
[(0.62871733143317976, 0.79981953362314928)]
[(0.45065026003586645, 0.72575018547146175)]
[(0.50873412225549208, 0.79953839159367457)]
[(0.36532871752097112, 0.72930960157067881)]
[(0.62047396413494404, 0.80992176439500252)]
[(0.6408949885386509, 0.85872716658681747)]
[(0.60466052945969839, 0.82736559263074216)]
[(0.66802042718550492, 0.87767152526372472)]
[(0.51890416604213996, 0.79828948625176177)]
[(0.32920647434323919, 0.7116528760837586)]
[(0.57895795209882162, 0.79829715044894589)]
[(0.67289731491780691, 0.88532083477277301)]
[(0.53497525577435545, 0.77715214275934585)]
[(0.45514701903885113, 0.72937918553166048)]
[(0.57436162911233302, 0.81130781076287872)]
[(0.60412164148585135, 0.8155581348591957)]
[(0.64767894997260544, 0.87332250802913181)]
[(0.28296770579712138, 0.68169863619454563)]
[(0.47643305025077615, 0.75710312364074517)]
[(0.62471435690803301, 0.86229237905824174)]
[(0.6078570552037712, 0.87472584112138818)]
[(0.58927918456742434, 0.82514284529659587)]
[(0.53112343607580126, 0.82947236650666589)]
[(0.60189040291992635, 0.85051139461395742)]
[(0.61317688594919406, 0.86418868364707313)]
[(0.7359416938364487, 0.90653868181302422)]
[(0.45729793319100509, 0.73795236561304511)]
[(0.66241849656170315, 0.84409833440931759)]
[(0.60901553339268111, 0.83290802266842012)]
[(0.32139092011504877, 0.67310403325371393)]
[(0.40479081730705291, 0.73499548439313089)]
[(0.64825580848863518, 0.8610018868577779)]
[(0.52743846745001899, 0.77821395400823346)]
[(0.48145952394623309, 0.85417006483971836)]
[(0.67601718790531207, 0.85672384024986392)]
[(0.6734247951856811, 0.88200327096319175)]
[(0.78718575657351753, 0.93040098060403043)]
[(0.57966728034420745, 0.78133713174729058)]
[(0.59445213451625945, 0.82697540800261737)]
[(0.46459996880908017, 0.71504476466392863)]
[(0.50880301453119392, 0.75989884088371085)]
[(0.32781643704636648, 0.75006324720726036)]
[(0.38222734806942565, 0.72565657046785725)]
[(0.60429749153942713, 0.83127761618383011)]
[(0.51756598790733566, 0.76577828151259975)]
[(0.29317978138481549, 0.67106060850573268)]
[(0.57862138528970219, 0.82571138129968646)]
[(0.48699024835230714, 0.76953248295744936)]
[(0.65587883307657291, 0.94240846083438834)]
[(0.54820021072344161, 0.86824311715663827)]
[(0.62735500959386414, 0.83390652268237964)]
[(0.47713005823020421, 0.78264124115181355)]
[(0.58785305548372424, 0.81635539031809534)]
[(0.63656230248948265, 0.8594196752507105)]
[(0.66518376693386672, 0.90354445592252408)]
[(0.40422170584927652, 0.72820899991798649)]
[(0.65772897760782301, 0.87126826611309771)]
[(0.51588457566481083, 0.7671953760635295)]
[(0.35232703595558224, 0.72230283983334076)]
[(0.67088747393989312, 0.87901973832994618)]
[(0.6421911998953177, 0.85477974033190074)]
[(0.48405420725146014, 0.76151421560147148)]
[(0.61956647229669393, 0.87309982893358284)]
[(0.58548274598282857, 0.86128593601630599)]
[(0.54120815486369545, 0.79133791842982326)]
[(0.62600766780788175, 0.82955044149000601)]
[(0.52621827919062603, 0.78057419844084786)]
[(0.47660787084621881, 0.74704601856345176)]
[(0.42663257644494651, 0.72758931534926752)]
[(0.66032987059563375, 0.86889462756618252)]
[(0.69721224046845387, 0.87239756401169366)]
[(0.72722725383839326, 0.90187811849190902)]
[(0.65049715876392911, 0.83287106615149487)]
[(0.50835628413822109, 0.85031775938427689)]
[(0.65127081426245081, 0.8359262918953102)]
[(0.67133554415092811, 0.88471161162051015)]
[(0.71790101506557702, 0.88997742554192283)]
[(0.34553285815479451, 0.70868148406108633)]
[(0.60895106861013371, 0.84531494471263868)]
[(0.61552342965734164, 0.79414010517179212)]
[(0.56909107104479828, 0.79745045534491166)]
[(0.61595301293305427, 0.79593327551488657)]
[(0.67006939661899534, 0.87943143875009055)]
[(0.59941411429529856, 0.80395452692081049)]
[(0.51024269770687514, 0.8010521607918103)]
[(0.49447181492747722, 0.78542797263379571)]
[(0.53835488559722655, 0.80540372548907935)]
[(0.52872552454697108, 0.9386624255629441)]
[(0.62641027281375339, 0.86451580448600951)]
[(0.56008474202598757, 0.79311375859218936)]
[(0.40403878277033428, 0.72286455601375899)]
[(0.67262403541696225, 0.88558029288656281)]
[(0.57963425081312703, 0.80862003553237205)]
[(0.38783607276204568, 0.73155799028230062)]
[(0.59368843452401376, 0.81288913046203393)]
[(0.3808236018061652, 0.71044005024669032)]
[(0.56851390514641909, 0.85096669757589527)]
[(0.54622371321873842, 0.88468463836087774)]
[(0.38839899230517189, 0.73265809764404077)]
[(0.37071757929823612, 0.71210222692157854)]
[(0.51317595644983927, 0.79652473086849462)]
[(0.60861952621361382, 0.78691270653898893)]
[(0.60271410376146095, 0.77444204701897146)]
[(0.42089885944249944, 0.7450604944118121)]
[(0.43031441061545223, 0.76772628600820858)]
[(0.60306076929580932, 0.85063370197389732)]
[(0.52893471795993041, 0.80165958506860202)]
[(0.66983055350715648, 0.83213692704062281)]
[(0.38997459145048641, 0.73200332926694844)]
[(0.65057387936317557, 0.83260316253433331)]
[(0.36828701000007164, 0.71792976971190015)]
[(0.65998766257041142, 0.85815551715748173)]
[(0.57304001097162471, 0.80143702072882284)]
[(0.70898963201146581, 0.88051860236451629)]
[(0.41103233914886389, 0.72850331168095384)]
[(0.65257685570453217, 0.82074075868755147)]
[(0.62291002595319045, 0.81732536281177948)]
[(0.67008832458343048, 0.86511475304129359)]
[(0.25276656253987695, 0.68795446546562344)]
[(0.68314376341744321, 0.85094823606376302)]
[(0.31682106770264495, 0.66147939347299523)]
[(0.72217834168334616, 0.92125839032761159)]
[(0.30544732671335445, 0.6869575493243173)]
[(0.56999771697380763, 0.80880443003315317)]
[(0.62180963472722517, 0.89375863051355109)]
[(0.69898379112148967, 0.85631980402811725)]
[(0.57715255504510088, 0.83057863432980439)]
[(0.64452148342540216, 0.88638601005828599)]
[(0.64048734540431529, 0.84804869673610506)]
[(0.41522634979874951, 0.71429124461973303)]
[(0.49049136341327998, 0.73670691778151465)]
[(0.70716768740805958, 0.93235994076993389)]
[(0.59016890881767436, 0.82583048183716867)]
[(0.74603723541179923, 0.92351193219853867)]
[(0.60161746385223935, 0.83048922553659932)]
[(0.45723393533176321, 0.79444152076086128)]
[(0.5543735786000632, 0.88545682167223516)]
[(0.31160668100859207, 0.66621568775973727)]
[(0.5213188847727861, 0.75935900044827365)]
[(0.54248257392967192, 0.81479407023279982)]
[(0.59100252543663012, 0.80471108103581757)]
[(0.29898980868232944, 0.67427448950872071)]
[(0.50094193603784842, 0.74726733092197972)]
[(0.61778206345046793, 0.82828041969724953)]
[(0.65849781052428658, 0.91003734151520654)]
[(0.58604534578593481, 0.82378810711869743)]
[(0.63192091321778099, 0.83854851549976828)]
[(0.66242570746971097, 0.85684502680592534)]
[(0.65354844799658895, 0.85839807947254865)]
[(0.63852391641658057, 0.80999453486101669)]
