[(0.22515561469488238, 0.22515698159231068)]
[(0.04390823403210798, 0.043913566448513582)]
[(0.083607841103574637, 0.08361807747195095)]
[(0.20204627843378223, 0.2020514971705811)]
[(0.084155754046434036, 0.08414416683400841)]
[(0.044725258470566395, 0.044738965848867357)]
[(0.19224792036697441, 0.19225504245483241)]
[(0.055525813537048399, 0.055528709559187976)]
[(0.19526999643078807, 0.19526570485104758)]
[(0.053293092740335425, 0.053294875137967941)]
[(0.33623984335439572, 0.3362504908462754)]
[(0.077585276158030417, 0.077573724868368388)]
[(0.1193580270603741, 0.11936747392168125)]
[(0.055355832996660109, 0.05536250471667719)]
[(0.11948520636384964, 0.11948253839725376)]
[(0.044456495451479401, 0.044454342729389078)]
[(0.043859395867958159, 0.043861903779800045)]
[(0.0080068992694394252, 0.0079989091253551189)]
[(0.054773914542065545, 0.054777774085314326)]
[(0.08185613776061057, 0.08185023138300139)]
[(0.05185715008118727, 0.051859078270625879)]
[(0.19774700841257031, 0.19775148032867584)]
[(0.048272195893047515, 0.048276184378997937)]
[(0.095229231165063141, 0.09522465780598259)]
[(0.10828961385174957, 0.10828557372657201)]
[(0.2109354353084498, 0.2109361599175143)]
[(0.20600536423506685, 0.20601123823054096)]
[(0.1232395766051695, 0.12324612971425221)]
[(0.1966055713436102, 0.1966052444884106)]
[(0.21793976734880244, 0.21792603642097161)]
[(0.061545465839952268, 0.061548897810357689)]
[(0.17634901952008988, 0.17634714631327997)]
[(0.058963444575116999, 0.05895637200462242)]
[(0.051820195421931524, 0.051822427085356164)]
[(0.079368428875567443, 0.079365192740651805)]
[(0.20673108461670298, 0.20673558059759231)]
[(0.073929254238432079, 0.073941191132049014)]
[(0.27604635802798067, 0.27603410826834329)]
[(0.062011103332488965, 0.06200706575585118)]
[(0.027213532412343411, 0.027205175800382876)]
[(0.085933816173180883, 0.085927536796801152)]
[(0.15656306998558259, 0.1565648267407618)]
[(0.20039527420389386, 0.20040107737329269)]
[(0.2103174038089228, 0.21032055494870502)]
[(0.1157529980471553, 0.11575478798226232)]
[(0.063004704463906547, 0.062999341101301912)]
[(0.17916361745354878, 0.17916382528705957)]
[(0.12108730570207683, 0.12109124711079958)]
[(0.022817613650489964, 0.022808809963268339)]
[(0.50649999999999995, 0.50649940577484698)]
[(0.016484825667638179, 0.016490565775026458)]
[(0.17126865894465479, 0.17127209085004635)]
[(0.20185393932670539, 0.20186291438518877)]
[(0.056677025915401517, 0.05666901227250442)]
[(0.11534170894377573, 0.11532765930876412)]
[(0.22919894189193801, 0.22919356411772848)]
