[(0.11861973177705226, 0.11862287773907219)]
[(0.216085208490468, 0.21607758464930935)]
[(0.14721381544335824, 0.1472121328045376)]
[(0.10423293475621716, 0.10423201356906153)]
[(0.18358485881775774, 0.18358615526934915)]
[(0.16297012727694099, 0.16296557915674087)]
[(0.17291515109800135, 0.17291278760269241)]
[(0.13027947696358672, 0.13026998498168779)]
[(0.18213364994601972, 0.18213852012328441)]
[(0.1845506336145207, 0.18455281857288097)]
[(0.16147098782651892, 0.16146957594765843)]
[(0.19190510051612025, 0.19190056001093422)]
[(0.1409716766367794, 0.14097561340949188)]
[(0.16039080286116913, 0.16038071579403287)]
[(0.13472982666898414, 0.13472886853245136)]
[(0.097410551291390632, 0.097406833549490909)]
[(0.18969705797996791, 0.18970015265054208)]
[(0.19236146845302241, 0.19236621155083639)]
[(0.09427318118508396, 0.094276738360539444)]
[(0.051765739931922933, 0.051759731845494629)]
[(0.14562654841435102, 0.14562783360603113)]
[(0.20154659130863817, 0.20154618619038916)]
[(0.21358737711717754, 0.21358661112592978)]
[(0.12688944917670264, 0.12688594476738099)]
[(0.22161907900710603, 0.22162144014364446)]
[(0.19104145998670205, 0.19104315854431694)]
[(0.18540185131163503, 0.18539333796802823)]
[(0.18472860494811158, 0.18472760781086583)]
[(0.19107720831669608, 0.19107859032768379)]
[(0.11448727862062315, 0.11448548321831066)]
[(0.18322612714566003, 0.18322426818564755)]
[(0.20399925025078175, 0.20399809995797752)]
[(0.14361219898384001, 0.14360744208379367)]
[(0.1382535121695197, 0.13825576554196015)]
[(0.16036118028153926, 0.16036225688918532)]
[(0.19721190647943398, 0.19721687355392881)]
[(0.18928726389499237, 0.1892922826454683)]
[(0.21598791134553472, 0.21598305577262103)]
[(0.056982344820333306, 0.056969986334993145)]
[(0.1201503022957917, 0.12014209900225721)]
[(0.12308999379993836, 0.12308431139287747)]
[(0.1335389992075878, 0.13353960300001819)]
[(0.12533844762552906, 0.12534232058468162)]
[(0.14093966060260715, 0.14094357307716382)]
[(0.16080560465986962, 0.16080920313728095)]
[(0.15803800940887006, 0.15803274930914257)]
[(0.16032028915649926, 0.16031475280914809)]
[(0.13369784255338898, 0.13369569631834452)]
[(0.1519425969379829, 0.15194548549838294)]
[(0.18514572158464845, 0.185139506652966)]
[(0.11946570575406343, 0.1194650321284219)]
[(0.19348664706499577, 0.19348868454434712)]
[(0.18897038827907042, 0.18897208635501669)]
