[(0.049707634341418297, 0.049700938318086058)]
[(0.12916818554156601, 0.12916110674873085)]
[(0.17676003664727255, 0.17677171349639692)]
[(0.16423081350321442, 0.16423203006944775)]
[(0.18428253671100062, 0.18428637422781466)]
[(0.13053378504343238, 0.13053451853782361)]
[(0.19304770514510644, 0.19305013935584309)]
[(0.18158584298865307, 0.18158148509515648)]
[(0.14665425991766987, 0.14665840847256664)]
[(0.19005748865635025, 0.19005858756877564)]
[(0.088704698590374609, 0.088706579146931294)]
[(0.1078642136923106, 0.10786868431950959)]
[(0.114381349129899, 0.11438096134379237)]
[(0.17820308246964794, 0.17820073488060034)]
[(0.18903413722610782, 0.18903905226848028)]
[(0.13113005693036375, 0.13112285170415919)]
[(0.18259723561484156, 0.18259689742682872)]
[(0.041437897781189899, 0.041432362471601716)]
[(0.12513855479841818, 0.12513702882303421)]
[(0.19179100491454604, 0.19179020844546157)]
[(0.12677452036544021, 0.12677683694745087)]
[(0.18547605400358835, 0.18547639714752176)]
[(0.26888732545644789, 0.26888823812963486)]
[(0.066570663921795795, 0.066569223710788758)]
[(0.50649999999999995, 0.50649602211088085)]
[(0.12599643479010084, 0.1259941123771606)]
[(0.09789137514926334, 0.097890599449709667)]
[(0.13082543852137382, 0.13081921494143831)]
[(0.19150674310318311, 0.1915089503890256)]
[(0.23794295294873818, 0.2379409736927805)]
[(0.14931497374543357, 0.14931067313299107)]
[(0.44470815097618921, 0.4446964049615254)]
[(0.1118909648853707, 0.11188632917658042)]
[(0.037808022806721665, 0.037810379763509372)]
[(0.055140632215288574, 0.055138219947831787)]
[(0.1624230102486747, 0.16241503621599818)]
[(0.24202822237015431, 0.24202850861425415)]
[(0.13095293400513563, 0.13095123909042786)]
[(0.17147490691729136, 0.17146956551577638)]
[(0.12796261789887184, 0.12796088106592077)]
[(0.11460093238421623, 0.11460169187093526)]
[(0.12070761480625412, 0.12070650067378215)]
[(0.19326678314241547, 0.19326937453427079)]
[(0.18878494784189978, 0.18878903610471981)]
[(0.17673281310726097, 0.17672798540781862)]
[(0.14713840485123175, 0.14713077132830174)]
[(0.11189167314902884, 0.11189013941262997)]
[(0.21271568444404715, 0.21272150322356137)]
[(0.12803799458955514, 0.12803366265187835)]
[(0.055437182870454182, 0.055445249587438371)]
[(0.12046155269963664, 0.1204577208738471)]
[(0.078905853047533114, 0.078905636189830888)]
[(0.16139757689928594, 0.16139653481586214)]
[(0.17964424525161141, 0.17963660024830413)]
[(0.12455241735693887, 0.12455276262460883)]
[(0.17771638788332059, 0.17770690314391319)]
[(0.19633750949080334, 0.19633397157056454)]
