[(62184.727272727272, 2491.4588807062669)]
[(38279.545454545456, 2176.3247737451034)]
[(73419.909090909088, 3722.9795516620984)]
[(45517.818181818184, 2628.9862513867292)]
[(57142.272727272728, 3089.9774144996295)]
[(24991.409090909092, 1637.798021717505)]
[(36141.181818181816, 1643.9804890155792)]
[(42467.409090909088, 2390.4439322840085)]
[(31242.5, 1684.2288615378466)]
[(68631.181818181823, 3576.9278660687532)]
[(38711.909090909088, 1879.7716399431229)]
[(48101.045454545456, 2387.4141151146455)]
[(28845.909090909092, 1631.3811320391569)]
[(40923.681818181816, 2167.7969437620854)]
[(36093.590909090912, 2261.8669030341234)]
[(34693.318181818184, 2066.665053638545)]
[(34724.227272727272, 1993.417789535089)]
[(53325.5, 3065.313720020381)]
[(31833.409090909092, 1813.7602862661536)]
[(43113.772727272728, 2062.0117942311549)]
[(39505.0, 2215.2681951739573)]
[(42390.954545454544, 2493.5584673339672)]
[(35074.727272727272, 2258.9597594738007)]
[(51319.272727272728, 2492.1401997479525)]
[(66154.227272727279, 3072.9006149010224)]
[(35380.63636363636, 1831.8245136304336)]
[(51303.954545454544, 2219.8299760493364)]
[(75443.181818181823, 3311.3138301589274)]
[(49467.86363636364, 2904.5855286879973)]
[(42729.727272727272, 2436.4864810380068)]
[(62095.590909090912, 2367.5130526260896)]
[(45471.63636363636, 1919.7348230968821)]
[(59930.181818181816, 3084.0344523733311)]
[(27078.909090909092, 1342.0248749797995)]
[(54726.318181818184, 2605.5405732826753)]
[(29980.18181818182, 1485.4145439538088)]
[(33691.681818181816, 1982.4006242752075)]
[(70057.772727272721, 3502.0604053085499)]
[(62597.090909090912, 3619.485323407433)]
[(53430.5, 2176.293848156929)]
[(46529.681818181816, 2685.7085514610462)]
[(52502.272727272728, 2492.7886458526959)]
[(60157.63636363636, 3105.4542876807127)]
[(55870.909090909088, 2649.646810423244)]
[(52983.5, 2095.8353283296933)]
[(57745.909090909088, 2135.6661620573564)]
[(61248.590909090912, 2928.3176943930712)]
[(39229.909090909088, 2253.4339565147052)]
[(33259.727272727272, 2118.2314580028706)]
[(50088.045454545456, 2060.4346853061156)]
[(35724.227272727272, 1988.879254991358)]
