[(26100.590909090908, 1292.9049876494842)]
[(17812.0, 828.34650156714702)]
[(33548.090909090912, 1437.6155544194307)]
[(31636.18181818182, 1225.6231235374105)]
[(15559.227272727272, 672.74473793940115)]
[(15998.5, 1571.9332370974801)]
[(30212.863636363636, 1349.733794353225)]
[(29864.18181818182, 1310.0495296825063)]
[(19237.045454545456, 1022.483284668489)]
[(15137.181818181818, 1477.2425117275932)]
[(12268.863636363636, 769.78563929687846)]
[(39393.454545454544, 2057.5672245459123)]
[(16390.31818181818, 706.67007550326264)]
[(33263.681818181816, 1353.6442631699822)]
[(27015.18181818182, 980.75555263866079)]
[(14589.181818181818, 781.33939175172281)]
[(16980.363636363636, 1087.2301293069665)]
[(30600.18181818182, 1446.104350718585)]
[(21627.636363636364, 1145.5137509541078)]
[(31021.227272727272, 1378.2401050762696)]
[(22537.68181818182, 1045.9788111556661)]
[(27047.0, 1194.670834758065)]
[(23851.090909090908, 1141.2156401872635)]
[(21011.31818181818, 1113.3060899756172)]
[(27600.863636363636, 1457.4245993982661)]
[(13451.272727272728, 801.45790117437184)]
[(13356.318181818182, 973.34760998595846)]
[(16651.727272727272, 887.3970787416805)]
[(27142.31818181818, 1361.6665908965197)]
[(30308.863636363636, 1632.8801735964689)]
[(17561.454545454544, 806.37926436554301)]
[(22434.045454545456, 1228.1171619783747)]
[(17838.045454545456, 783.24645563689148)]
[(19692.81818181818, 800.84783963723612)]
[(22472.863636363636, 1249.8865241570907)]
[(19994.727272727272, 955.21747739748525)]
[(15700.09090909091, 832.49047415906728)]
[(21739.272727272728, 1072.1013746261597)]
[(20989.545454545456, 1038.5957926945252)]
[(16321.09090909091, 952.34023068167949)]
[(19032.545454545456, 1028.432897307656)]
[(29611.227272727272, 1374.4103000922637)]
[(26517.772727272728, 1153.7935880422592)]
[(23302.954545454544, 1169.9945985078812)]
[(16765.590909090908, 1077.8379740064795)]
[(13687.59090909091, 755.14438268271363)]
[(20306.545454545456, 878.90709434856069)]
[(14654.0, 843.88614452968943)]
[(31636.18181818182, 1225.6231235374105)]
[(18010.954545454544, 896.30368332429362)]
[(33653.090909090912, 1495.8245136304336)]
[(24643.136363636364, 1348.9201258854432)]
[(13634.227272727272, 864.6758074110204)]
[(19252.545454545456, 788.74982073090291)]
[(35816.818181818184, 1501.5535438927736)]
[(21429.136363636364, 778.67699550498617)]
[(25055.727272727272, 1324.1260293288665)]
[(28413.636363636364, 1405.9007437879388)]
[(17455.954545454544, 965.9674574786967)]
[(23235.409090909092, 1051.4560639641502)]
[(38768.227272727272, 1719.8353283296931)]
[(12705.727272727272, 780.26362089677286)]
[(23292.454545454544, 1395.5780884569342)]
[(25560.68181818182, 1404.0554209405725)]
[(14359.045454545454, 807.62771656296468)]
[(16965.81818181818, 652.88844104246664)]
[(29960.363636363636, 1253.9212343042548)]
[(16388.0, 828.19209390336812)]
[(20042.272727272728, 1053.1753082708879)]
[(39525.86363636364, 2040.3972193436189)]
[(21897.772727272728, 1253.8711164322767)]
[(25400.727272727272, 1111.9778925505552)]
[(19545.727272727272, 1104.8135091174734)]
[(15370.227272727272, 857.45725205811584)]
[(33369.318181818184, 1428.8461125655608)]
[(17943.909090909092, 1015.3003580678593)]
[(26642.090909090908, 1290.2483233105052)]
[(20199.090909090908, 1060.8375147039239)]
[(20823.545454545456, 1096.1430047750473)]
[(23769.045454545456, 1110.5447562174363)]
[(12537.818181818182, 625.91252630407155)]
[(38304.681818181816, 1617.9704335711219)]
[(26040.090909090908, 1335.6546982418406)]
[(27243.272727272728, 1800.9041791829195)]
[(22504.18181818182, 1243.7053550915284)]
[(21530.863636363636, 1192.3992159041491)]
[(31243.727272727272, 1079.7702315720644)]
[(33002.318181818184, 1464.4182488376443)]
[(25615.090909090908, 1167.3152268149636)]
[(19780.0, 1164.6679688041861)]
[(14647.40909090909, 715.14648938179016)]
[(30709.18181818182, 1504.306659416719)]
[(23186.227272727272, 1056.0837500637228)]
[(20199.090909090908, 1060.8375147039239)]
[(15318.681818181818, 943.30322402173817)]
[(39055.045454545456, 1720.6268284212458)]
[(12793.363636363636, 628.53237379680979)]
[(24440.18181818182, 1048.4770137830214)]
[(26097.0, 1403.5156983028758)]
[(31336.5, 1726.2297801429575)]
[(38998.090909090912, 1585.9786518053575)]
[(24806.81818181818, 1182.5886032039468)]
[(32976.045454545456, 1242.2530264746058)]
[(24169.909090909092, 2208.2129148353229)]
[(29186.18181818182, 1653.6679992675781)]
[(13670.454545454546, 986.88568522713399)]
[(31037.5, 1641.1798520846801)]
[(16636.090909090908, 744.07958587733185)]
[(21479.68181818182, 1700.8968795537949)]
[(27293.863636363636, 1147.4290330735121)]
[(16573.863636363636, 783.24137284538961)]
[(39528.818181818184, 1597.7936981808054)]
[(17934.363636363636, 921.39394329894674)]
[(26319.909090909092, 1219.2648394541307)]
[(34438.86363636364, 1553.785859573971)]
[(20534.954545454544, 953.04636377638042)]
[(26380.68181818182, 1206.0440672636032)]
[(23473.090909090908, 1112.5781681320884)]
[(33456.590909090912, 1653.1423861221833)]
[(18672.68181818182, 990.92066486315298)]
[(16922.227272727272, 913.50044992837036)]
[(23932.409090909092, 1128.1521416143937)]
[(32232.68181818182, 1429.4508218223398)]
[(30984.590909090908, 1491.3295565843582)]
[(16044.454545454546, 755.03057642416525)]
[(27828.954545454544, 1323.6228540485556)]
[(23025.227272727272, 1031.8159157687967)]
[(13281.681818181818, 617.44460014863444)]
[(22774.772727272728, 1161.676646340977)]
[(39371.86363636364, 1567.9361030513589)]
[(34816.590909090912, 1562.0612629868767)]
[(34677.727272727272, 1498.5121035575867)]
[(39269.681818181816, 1420.9900851574812)]
[(37088.909090909088, 1680.6082852536981)]
[(24244.590909090908, 986.87876522541046)]
[(21934.81818181818, 1464.0898615988817)]
[(14829.636363636364, 818.4340854016217)]
[(40291.272727272728, 1927.7187662558122)]
[(35652.0, 1512.5348109115255)]
[(23263.5, 1206.1761472008445)]
[(19601.68181818182, 956.31438788500702)]
[(25292.363636363636, 1182.3321225859902)]
[(24289.727272727272, 1406.7367399822581)]
[(31074.636363636364, 1364.017954978076)]
[(14634.363636363636, 657.12729709798634)]
[(22362.954545454544, 1140.9166108153083)]
[(14867.045454545454, 812.61406637321818)]
[(36553.772727272728, 1953.6860034574163)]
[(20174.045454545456, 986.97835185311055)]
[(13451.272727272728, 801.45790117437184)]
[(15255.136363636364, 948.03076623786581)]
[(32485.409090909092, 1634.8763890374792)]
[(16621.772727272728, 975.97594520178711)]
[(31583.863636363636, 1539.2800878286362)]
[(32352.409090909092, 1514.2458369840276)]
[(24816.772727272728, 1234.2029086026278)]
[(29305.31818181818, 1534.4739884788339)]
[(21812.81818181818, 986.43916819312358)]
[(21062.31818181818, 1236.1603598486292)]
[(31907.0, 1422.7496613805945)]
[(32002.136363636364, 1238.0364981456237)]
[(27508.090909090908, 1303.1788233410227)]
[(19016.136363636364, 1160.9014725793493)]
[(24776.18181818182, 1093.2613243839958)]
[(17716.136363636364, 703.22023321281779)]
[(28063.227272727272, 1577.0270121422682)]
[(16229.454545454546, 944.50534290617168)]
[(12654.59090909091, 909.32776858589864)]
[(31568.227272727272, 1910.2689239653673)]
[(19820.409090909092, 1175.2269938642328)]
[(16829.31818181818, 949.75065966085958)]
[(13139.045454545454, 572.18636199561035)]
[(25541.68181818182, 1013.7762329686772)]
[(19148.272727272728, 1932.8569272648203)]
[(37943.5, 1689.1584429632533)]
[(21957.727272727272, 975.76266245408488)]
[(16014.90909090909, 813.5492695678364)]
[(19463.545454545456, 1077.6722126657312)]
[(36231.818181818184, 1545.3752407810905)]
[(10629.454545454546, 681.43611242554402)]
[(20916.0, 1256.6106614416296)]
[(40222.954545454544, 1681.7867781790819)]
[(22863.727272727272, 1241.9511311487718)]
[(15876.045454545454, 1081.6022533936934)]
[(28046.545454545456, 1291.7053550915284)]
[(33281.909090909088, 1308.4399274479258)]
[(21215.727272727272, 1041.4226520494981)]
