[(58854.909090909088, 3132.5647686828265)]
[(27643.090909090908, 2162.6764073155141)]
[(25414.18181818182, 2049.4997516003523)]
[(38873.318181818184, 2764.8177342306485)]
[(35579.63636363636, 2944.1405793753538)]
[(38434.909090909088, 2431.1674204522915)]
[(41353.590909090912, 2852.2045372507787)]
[(47670.86363636364, 2720.5067020654678)]
[(39789.909090909088, 3042.8782871744847)]
[(58175.454545454544, 3635.2370610237122)]
[(46701.909090909088, 3366.8339012102647)]
[(49887.909090909088, 2755.4258484190159)]
[(54064.272727272728, 3465.7389380715108)]
[(27570.090909090908, 1780.5370277491484)]
[(22998.18181818182, 1910.9901952960274)]
[(23295.5, 2041.1566057530317)]
[(31137.227272727272, 2159.9431331916289)]
[(49490.0, 3225.2242989756846)]
[(35629.545454545456, 2795.4552062858234)]
[(35776.909090909088, 2164.5667652433567)]
[(48479.0, 3336.9873902689328)]
[(34834.318181818184, 2630.1386320265856)]
[(31742.909090909092, 2369.4232519539919)]
[(35551.63636363636, 2301.7761837569151)]
[(57280.5, 4081.8254439505663)]
[(40996.090909090912, 3160.8080584135923)]
[(47384.818181818184, 3002.843307538466)]
[(44204.36363636364, 3035.3682715676046)]
[(59367.454545454544, 3576.8796955455432)]
[(33075.63636363636, 2560.5586571476674)]
[(42163.227272727272, 3162.1478790044785)]
[(33656.454545454544, 2522.9953882260756)]
[(41525.818181818184, 2498.8403314460406)]
[(38033.818181818184, 2548.0399640039964)]
[(44641.681818181816, 3138.1803723140197)]
[(34558.63636363636, 2512.9316998395052)]
[(65653.727272727279, 3547.5829626863651)]
[(34102.090909090912, 2332.1514432863755)]
[(37907.227272727272, 2275.7109276489778)]
[(31910.0, 2460.3938144120302)]
[(33992.545454545456, 2050.4050579504533)]
[(42725.181818181816, 2515.775265151804)]
[(39774.545454545456, 2439.592148737474)]
[(21734.409090909092, 1658.272328896956)]
[(23666.863636363636, 1727.9975746003065)]
[(49088.227272727272, 3121.8100854375148)]
[(26384.454545454544, 1785.332042910836)]
[(37514.954545454544, 1890.775234688412)]
[(52098.227272727272, 3584.7293419296093)]
[(26798.409090909092, 1937.7943472970617)]
[(35568.63636363636, 2648.9846836653624)]
[(23728.954545454544, 1962.3016867637634)]
[(49273.454545454544, 3118.5001616911454)]
[(28003.636363636364, 1770.2972530885177)]
[(32146.636363636364, 2653.5544132861223)]
[(41361.227272727272, 2864.4380410259419)]
[(53373.954545454544, 3078.9028317386455)]
[(38461.36363636364, 2393.6082055785441)]
[(47658.954545454544, 2910.8707180565052)]
[(48724.227272727272, 2648.8173546032472)]
[(46180.590909090912, 2868.2420032132754)]
[(39807.409090909088, 2232.6921946677294)]
[(34782.681818181816, 2723.9177801609039)]
[(40597.818181818184, 2890.6145069274035)]
[(52581.409090909088, 3007.0320457220078)]
[(53010.681818181816, 3246.0672151717272)]
[(35584.681818181816, 2460.6783546642823)]
[(31795.909090909092, 2078.8021062287416)]
[(34608.954545454544, 2699.9066959727893)]
[(24449.18181818182, 1798.5408123081381)]
[(27629.954545454544, 2088.1205176982012)]
