[(35068.63636363636, 1509.6017144159837)]
[(40993.272727272728, 1676.3035239739852)]
[(52736.318181818184, 2637.1974274353547)]
[(35894.63636363636, 1928.4239807454023)]
[(27222.18181818182, 1195.4516302889044)]
[(22621.545454545456, 1541.3499369621277)]
[(64684.272727272728, 2622.672732895071)]
[(48293.181818181816, 2047.3925958546724)]
[(64478.545454545456, 3013.2333256764846)]
[(26973.909090909092, 1410.7073821154509)]
[(57674.045454545456, 2253.976006128571)]
[(27982.772727272728, 1607.5100765336645)]
[(35347.772727272728, 1789.3509657057848)]
[(27690.363636363636, 1663.618150884455)]
[(24156.31818181818, 1380.0415809371254)]
[(29155.5, 1784.4819372242148)]
[(58627.545454545456, 2688.888881596652)]
[(54738.818181818184, 2475.9557851011105)]
[(34260.409090909088, 1599.3811320391569)]
[(60991.0, 2735.0313966057515)]
[(31218.727272727272, 1482.1311121203682)]
[(54049.409090909088, 2436.7167392318897)]
[(30328.727272727272, 1530.6854340163145)]
[(39563.090909090912, 2273.0756724314256)]
[(65341.454545454544, 2487.7062244848771)]
[(38339.409090909088, 2044.429333025759)]
[(48440.909090909088, 2290.8443854938855)]
[(30271.18181818182, 1272.8831989006562)]
[(63909.36363636364, 2732.8687707077374)]
[(59867.63636363636, 2668.4061968326569)]
[(30240.363636363636, 1690.7134936506097)]
[(52956.090909090912, 2620.9389994686298)]
[(54695.36363636364, 2568.9276457916608)]
[(61963.818181818184, 2561.4851031303406)]
[(25158.045454545456, 1281.7330350984228)]
[(40824.954545454544, 1874.9284542582252)]
[(52698.090909090912, 2344.3947330171413)]
[(42118.0, 1857.9216139316559)]
[(37510.045454545456, 1812.8595729416068)]
[(41856.045454545456, 1787.6887592727487)]
[(38029.63636363636, 1911.8618202426217)]
[(31970.727272727272, 1831.6399396332827)]
[(34005.227272727272, 1612.2408643310721)]
[(28144.5, 1227.0423097285357)]
[(54405.045454545456, 2297.993900179863)]
[(48293.681818181816, 1989.8366265622053)]
[(22583.31818181818, 1301.4201657230203)]
[(30417.772727272728, 1564.8530325672843)]
[(50396.36363636364, 2359.3519944494419)]
[(33377.681818181816, 1841.2778709910133)]
[(49386.5, 2632.5294094194064)]
[(58787.090909090912, 3251.9979050159454)]
[(71124.272727272721, 3296.1671814268284)]
[(43328.272727272728, 1817.9982237165625)]
[(27344.136363636364, 1476.6447224725378)]
[(32054.0, 1338.0340118191459)]
[(47011.227272727272, 1905.1726625941017)]
[(43835.818181818184, 2249.6825985258274)]
[(39834.63636363636, 2287.1821790608492)]
[(74012.863636363632, 3430.207513343204)]
[(32153.272727272728, 1490.1084047664297)]
[(62485.954545454544, 3112.5783391974187)]
[(41163.818181818184, 2241.27041201158)]
[(44207.545454545456, 2133.4429832155056)]
[(25489.636363636364, 1509.8339199586349)]
[(34850.86363636364, 1689.4454695419831)]
[(41803.272727272728, 1641.733145236969)]
[(41885.590909090912, 2078.8112430680881)]
[(44644.818181818184, 1904.3921365521171)]
[(58258.090909090912, 2308.7602065909991)]
[(61862.090909090912, 3285.7572117502041)]
[(43268.36363636364, 2631.7289318388157)]
[(19937.18181818182, 1332.0901310877366)]
[(27074.272727272728, 1613.3960007862611)]
[(35332.954545454544, 1508.2489724267614)]
[(67711.0, 3234.5723378008061)]
[(35540.954545454544, 1956.2216720472682)]
[(47409.36363636364, 2429.3145284869456)]
[(42905.681818181816, 1989.6775157343257)]
[(41957.045454545456, 1943.2221313498237)]
[(29970.18181818182, 1899.7146020694213)]
[(60275.590909090912, 2731.9924425970426)]
[(38940.090909090912, 2188.3194214647465)]
[(24697.31818181818, 1200.570329525254)]
[(34972.0, 2036.9776535250924)]
[(49696.36363636364, 2180.0774299664931)]
[(44473.5, 2238.0014692978425)]
[(23540.136363636364, 1431.3127404884858)]
[(35367.63636363636, 1902.0703998262231)]
[(44603.36363636364, 2217.9762756174259)]
[(64172.090909090912, 2746.0804060589185)]
[(59519.5, 1898.4623653130097)]
[(39847.86363636364, 2232.9114788120442)]
[(50204.590909090912, 2489.7657486850567)]
[(37179.5, 2097.7181171395564)]
[(60994.727272727272, 2664.2760642441835)]
[(60930.545454545456, 2576.1754488728261)]
[(23515.090909090908, 1234.3506657535379)]
[(33152.954545454544, 1782.5773596655238)]
[(50108.86363636364, 2227.2550042867661)]
[(49383.86363636364, 2298.258219404654)]
[(40957.36363636364, 1989.4102204171095)]
[(40550.409090909088, 2236.0370980501175)]
[(44214.5, 2252.3972193436189)]
[(48416.045454545456, 2156.280008153482)]
[(25483.772727272728, 1459.3105236508629)]
[(44345.63636363636, 1947.2727881995115)]
[(27595.0, 1423.7371992848136)]
[(26035.31818181818, 1273.6385312622244)]
[(59777.727272727272, 2350.0137415799227)]
[(52807.318181818184, 2667.7727788253264)]
[(60086.318181818184, 2815.877068617127)]
[(26463.454545454544, 1441.8024553927507)]
[(46869.954545454544, 2065.5590063116765)]
[(35288.272727272728, 1610.8360571211035)]
[(34894.954545454544, 2010.3529927297072)]
[(40826.818181818184, 2109.7802378047595)]
[(30699.227272727272, 1640.6397498195822)]
[(58708.090909090912, 2934.2563329826703)]
[(27797.772727272728, 1595.2743559208784)]
[(43308.045454545456, 1829.8580356836319)]
[(50324.045454545456, 2022.3758102221923)]
[(60549.36363636364, 2369.7449886798859)]
[(45708.454545454544, 1877.3909179947593)]
[(38518.727272727272, 1996.9763552925804)]
[(42698.909090909088, 2046.665702754801)]
[(31162.81818181818, 2084.1706355701795)]
[(34833.681818181816, 1639.2381881908937)]
[(61911.772727272728, 2916.4808592687955)]
[(23279.545454545456, 1259.1157840707085)]
[(42462.545454545456, 1800.3958109725606)]
[(56376.727272727272, 3312.1101435531268)]
[(25385.727272727272, 1263.2468352642927)]
[(55195.818181818184, 2815.1722337549381)]
[(30542.0, 1565.4007039503617)]
[(50611.818181818184, 2366.1647443121128)]
[(53283.13636363636, 2548.0998678315768)]
[(25671.81818181818, 1061.5477018464696)]
[(41179.772727272728, 2466.2176179994235)]
[(44488.545454545456, 2464.5974213426762)]
[(43502.227272727272, 1919.7613150098107)]
[(63904.409090909088, 2758.4420950737867)]
[(46752.954545454544, 2100.9650016156111)]
[(31829.227272727272, 1743.433846376159)]
[(49516.818181818184, 2384.6188304641032)]
[(35889.727272727272, 1903.5913894826715)]
[(36793.772727272728, 1748.6939217394049)]
[(61855.5, 2903.2343544201417)]
[(55302.181818181816, 2583.3032849485226)]
[(23476.545454545456, 1344.9043385332282)]
[(34383.318181818184, 1873.0238766995344)]
[(43928.272727272728, 2058.213833440434)]
[(24314.81818181818, 1284.9765146428888)]
[(31482.136363636364, 1635.8639269416983)]
[(27633.81818181818, 1548.6645638725975)]
[(26653.409090909092, 1501.9931409250605)]
[(46892.454545454544, 2091.2165095806122)]
[(42612.545454545456, 2095.759747288444)]
[(36434.090909090912, 1776.7475546815178)]
[(32862.409090909088, 1633.7756939909675)]
[(24911.727272727272, 1333.8339199586349)]
[(50532.909090909088, 2664.5385462587528)]
[(45977.409090909088, 2062.1280868161807)]
[(62386.090909090912, 3134.7336654663086)]
[(38522.909090909088, 1866.8600627075541)]
[(44653.5, 1992.4895063421943)]
[(32568.136363636364, 1792.4144642786546)]
[(50647.590909090912, 2223.8495479605413)]
[(64709.909090909088, 3259.6093444607473)]
[(60741.86363636364, 2671.6439444693651)]
[(49505.454545454544, 2268.7637216611342)]
[(33501.909090909088, 1751.1529805443504)]
[(48957.0, 2282.0868362946944)]
[(28046.363636363636, 1460.2057745565069)]
[(19827.31818181818, 1139.3914569724691)]
[(31169.363636363636, 1723.4127067435873)]
[(47182.090909090912, 1676.8534121946855)]
[(59610.5, 3248.2276242321186)]
[(31116.727272727272, 1418.9910037625921)]
[(36621.0, 1822.2909822030501)]
[(58580.454545454544, 2633.0011201338334)]
[(36038.545454545456, 1604.0894819714806)]
[(54927.409090909088, 1996.8272999091582)]
[(26493.5, 1359.6013347885826)]
[(59424.590909090912, 2616.3975989710202)]
[(40106.818181818184, 2258.2642208012667)]
[(48070.954545454544, 2124.4287940480494)]
[(62952.36363636364, 3117.803165435791)]
[(42812.818181818184, 2266.71998481317)]
[(26862.136363636364, 1479.7548238472505)]
[(23897.909090909092, 1430.8504361022603)]
[(44420.818181818184, 2233.9690861268477)]
[(62443.409090909088, 3199.6402700489216)]
[(42174.545454545456, 1879.0623714056883)]
[(53107.954545454544, 2717.1555277976122)]
[(52754.318181818184, 2713.8948033181105)]
[(46533.318181818184, 2113.5554912415419)]
[(53102.227272727272, 2545.997794877399)]
[(39875.86363636364, 1714.1673899888992)]
[(26184.81818181818, 1456.2060440453615)]
[(47936.86363636364, 2021.9863310618834)]
[(57028.318181818184, 2854.4550164721227)]
[(56334.772727272728, 2146.175718361681)]
[(31649.727272727272, 1524.3904586922038)]
[(57394.409090909088, 2333.4988329952412)]
[(38828.36363636364, 2201.970813198523)]
[(25334.590909090908, 1492.2240482351997)]
[(61529.318181818184, 2457.2149418592453)]
[(32797.454545454544, 1769.3140387209978)]
[(56662.772727272728, 2203.4462287967854)]
[(52669.954545454544, 2312.0985695990648)]
[(41705.227272727272, 1995.5719277100129)]
[(48111.5, 2333.5375971902499)]
[(32275.409090909092, 1595.6549677306955)]
[(53728.318181818184, 2227.7581795670771)]
[(38398.0, 1823.5258638858795)]
[(55380.954545454544, 2854.1746404062619)]
[(32546.227272727272, 1853.1798520846801)]
[(47252.045454545456, 2382.0049843679776)]
[(44945.454545454544, 2097.4887775507841)]
[(38180.454545454544, 2225.711576765234)]
[(54784.090909090912, 2502.9414857951078)]
[(25810.909090909092, 1119.4400071230802)]
[(65867.681818181823, 2705.5200827663593)]
[(48073.772727272728, 2698.5681736144152)]
[(31894.272727272728, 1661.4737986651335)]
[(35798.045454545456, 1949.3664835691452)]
[(42844.227272727272, 2193.3910281333056)]
[(47729.772727272728, 2366.6619181958113)]
[(28590.81818181818, 1430.6487765203822)]
[(43035.181818181816, 1560.3463422168386)]
[(44568.772727272728, 2133.2747355482793)]
[(38018.318181818184, 1543.6848645752127)]
[(56908.409090909088, 2494.4256586053157)]
[(45688.772727272728, 2055.504185275598)]
[(55788.727272727272, 2862.6699770797381)]
[(57750.954545454544, 2516.3053119724445)]
[(57597.86363636364, 2719.6511339599438)]
[(29297.81818181818, 1527.1571447307413)]
[(32231.227272727272, 1616.6491561477835)]
[(44983.954545454544, 2487.1141671375794)]
[(64879.545454545456, 2659.1687186848035)]
[(31953.5, 1573.581873015924)]
[(38592.954545454544, 1902.2749253619802)]
[(39143.454545454544, 1659.0317153063688)]
[(59893.045454545456, 3157.3626497983932)]
[(60601.5, 2733.1202786727386)]
[(63489.181818181816, 3219.8053822734141)]
[(24879.0, 1518.7619336626747)]
[(47417.590909090912, 2133.0781587579036)]
[(56979.227272727272, 2332.676676804369)]
[(29261.272727272728, 1651.8570069399748)]
[(50395.545454545456, 2171.0079299970107)]
[(37221.727272727272, 1874.3039036013863)]
[(34997.454545454544, 1774.3233653740449)]
[(31997.0, 1451.3263110030782)]
[(26385.0, 1067.5010990446265)]
[(63107.909090909088, 2832.0826228965411)]
[(33939.181818181816, 1865.2141826044428)]
[(32178.18181818182, 1754.1604699871757)]
[(62494.090909090912, 3005.5403037938204)]
[(31530.636363636364, 1468.49972113696)]
[(33938.772727272728, 1679.0270121422682)]
[(47805.818181818184, 1924.5650873834436)]
[(44395.727272727272, 1823.9808686429803)]
[(60856.318181818184, 2767.2472758184781)]
[(49499.227272727272, 2232.0402334928513)]
[(39040.454545454544, 1960.0703998262231)]
[(59347.909090909088, 2954.4191182309933)]
[(40460.727272727272, 1757.2428913549943)]
[(62641.727272727272, 2899.250141772357)]
[(52750.590909090912, 2530.9367826310072)]
[(23974.136363636364, 1251.0449061935599)]
[(41198.681818181816, 1541.89787783406)]
[(36612.954545454544, 1743.1473587751389)]
[(46679.772727272728, 2105.3384239348497)]
[(48994.681818181816, 2292.8806633624163)]
[(40617.227272727272, 2220.9351047710938)]
[(58015.090909090912, 2613.9120482531462)]
[(64257.909090909088, 2730.4418255849318)]
[(70516.772727272721, 3145.8911288976669)]
[(30797.227272727272, 1433.8245136304336)]
[(64292.181818181816, 2910.6998739242554)]
