[(38493.727272727272, 1951.5044547644529)]
[(38219.227272727272, 1565.7035178813067)]
[(40996.545454545456, 1969.9834651080046)]
[(65832.181818181823, 3195.1155755086379)]
[(62266.590909090912, 2510.886395270174)]
[(52489.454545454544, 2719.7088209499011)]
[(44851.181818181816, 1769.2081812078302)]
[(31799.68181818182, 1692.3242839791558)]
[(47706.86363636364, 2402.0049843679776)]
[(44404.090909090912, 2064.2031288797207)]
[(68017.909090909088, 3415.1093046231704)]
[(50624.0, 2169.7427718422628)]
[(50538.090909090912, 2057.0989187630739)]
[(28618.590909090908, 1230.7457666830583)]
[(39348.454545454544, 1856.6835968060927)]
[(50311.0, 1767.1265987699683)]
[(34259.86363636364, 1997.8990167162635)]
[(38266.590909090912, 1903.9481058445845)]
[(28890.954545454544, 1491.8358673074029)]
[(60105.727272727272, 2587.7939184578981)]
[(54945.0, 2409.9365928173065)]
[(26166.545454545456, 1474.5816832022233)]
[(29078.454545454544, 1315.5852779475126)]
[(41699.909090909088, 2265.988817388361)]
[(28599.5, 1502.0072504173625)]
[(57544.181818181816, 2334.1785843155599)]
[(26368.31818181818, 1268.8633575005965)]
[(49467.13636363636, 2148.8579560084777)]
[(41864.909090909088, 1820.9819770617919)]
[(24596.136363636364, 1486.6034719510512)]
[(26934.727272727272, 1456.1222447698767)]
[(52968.454545454544, 2430.1874516660519)]
[(27060.909090909092, 1389.4693649898875)]
[(43848.0, 2506.2935786680741)]
[(32384.090909090908, 1713.8021859038961)]
[(36955.318181818184, 1605.1253005374563)]
[(43743.090909090912, 1974.0499093099074)]
[(48424.454545454544, 2504.252058657733)]
[(68781.318181818177, 3207.0992491787129)]
[(54569.409090909088, 2710.8845580599523)]
[(34265.954545454544, 1928.6013652519746)]
[(25585.227272727272, 1503.9265865846114)]
[(24757.590909090908, 1382.5491898926821)]
[(43825.727272727272, 2240.5935266451402)]
[(58893.36363636364, 2834.4342564669523)]
[(61907.909090909088, 2885.4422848874874)]
[(26201.81818181818, 1011.9875683676113)]
[(28423.636363636364, 1544.8004283688285)]
[(51304.727272727272, 2063.4206554889679)]
[(41166.590909090912, 1846.4160320000215)]
[(47630.63636363636, 2193.2829537825151)]
[(59246.454545454544, 2365.7632623585787)]
[(38802.318181818184, 1449.6735108982432)]
[(29829.636363636364, 1427.3149573261087)]
