[(30284.772727272728, 1659.3525334271517)]
[(31249.272727272728, 1671.1533601717515)]
[(32603.136363636364, 2062.077699455348)]
[(18705.727272727272, 938.04747219519186)]
[(21285.0, 1319.0373370755804)]
[(44274.86363636364, 2344.1792334318161)]
[(21826.136363636364, 1370.6819189461794)]
[(27660.68181818182, 1423.2160198146646)]
[(23004.409090909092, 1339.4602281505411)]
[(20244.954545454544, 1159.0010592070494)]
[(29262.954545454544, 1691.3616702664983)]
[(20038.81818181818, 1312.3686699433761)]
[(16638.954545454544, 870.4340854016217)]
[(28035.272727272728, 1779.7001129497182)]
[(26978.18181818182, 1269.6271775852549)]
[(33992.63636363636, 1877.7811564098704)]
[(20244.454545454544, 1249.3003580678594)]
[(29198.5, 1412.4326278188012)]
[(16703.81818181818, 1098.0676932226527)]
[(26350.272727272728, 1519.175687898289)]
[(31667.954545454544, 1383.9237206307325)]
[(24129.954545454544, 1278.0235767472875)]
[(26793.590909090908, 1310.0712082927878)]
[(26291.454545454544, 1648.1475485888395)]
[(21294.590909090908, 1302.6683484315872)]
[(37140.954545454544, 2205.812081998045)]
[(20078.363636363636, 1309.6521017768166)]
[(31697.363636363636, 1548.3507758920844)]
[(29613.136363636364, 1591.6783242008903)]
[(21552.31818181818, 1220.048500938849)]
[(28429.454545454544, 1746.6123393015428)]
[(25709.636363636364, 1216.1430047750473)]
[(16023.272727272728, 961.97437748042023)]
[(21459.68181818182, 1256.0340118191459)]
[(43003.545454545456, 1850.358724637465)]
[(22351.772727272728, 1265.9687557112086)]
[(29564.045454545456, 1877.399515856396)]
[(32808.36363636364, 1201.3085763020949)]
[(35901.86363636364, 1678.9668388258326)]
[(21926.636363636364, 1304.269732431932)]
[(25316.136363636364, 1601.0780486193571)]
[(32397.81818181818, 1915.184016271071)]
[(33360.181818181816, 1211.8874427622015)]
[(19911.727272727272, 1111.8905782049353)]
[(39963.227272727272, 2209.0750233151698)]
[(22180.090909090908, 1205.6271775852549)]
[(26075.954545454544, 1303.1447623101149)]
[(45223.5, 2429.5811746879058)]
[(30395.454545454544, 1810.8235153501685)]
[(31269.454545454544, 1561.2567313584414)]
[(15388.954545454546, 946.57400394569743)]
[(26006.0, 1613.5491102175279)]
[(15089.181818181818, 871.00224730101502)]
[(18691.954545454544, 1303.4132457212968)]
