[(34882.909090909088, 1626.4951281114058)]
[(34174.227272727272, 1605.9984932054174)]
[(32408.954545454544, 1761.3661039417441)]
[(21833.590909090908, 1240.5794663646004)]
[(25840.545454545456, 1237.1891482743349)]
[(16940.81818181818, 1053.8571662902832)]
[(16088.227272727272, 937.30035806785929)]
[(19980.545454545456, 910.8928747177124)]
[(23795.545454545456, 1539.0836703885686)]
[(25122.0, 1045.9567529179833)]
[(39394.86363636364, 1688.4213842803781)]
[(21685.227272727272, 1179.5222386771982)]
[(27413.136363636364, 1684.7865883653815)]
[(44933.909090909088, 2371.7699128714476)]
[(30290.727272727272, 1217.12140583992)]
[(22631.227272727272, 1348.3087661157954)]
[(39910.227272727272, 1969.4128168821335)]
[(22301.727272727272, 1335.5925775766373)]
[(34673.045454545456, 2135.8851767128162)]
[(17238.772727272728, 1044.5249148173766)]
[(24736.136363636364, 1429.1892584128814)]
[(19131.227272727272, 1039.9712420376864)]
[(32438.727272727272, 1478.7868578542364)]
[(23532.31818181818, 1181.5837102261457)]
[(26719.090909090908, 1301.629394422878)]
[(24151.727272727272, 1140.6960284384813)]
[(26229.81818181818, 1106.1165128621187)]
[(34616.545454545456, 2363.973409663547)]
[(48539.954545454544, 2833.5226792313838)]
[(42592.5, 1989.0875650861046)]
[(26506.954545454544, 1835.5561403577979)]
[(24753.136363636364, 1102.7281421206214)]
[(11747.0, 901.88235997069967)]
[(28733.5, 1214.8368655876679)]
[(37106.590909090912, 2013.6236133033578)]
[(30184.31818181818, 1890.2537857294083)]
[(44536.318181818184, 2131.6717838265681)]
[(20148.31818181818, 1304.535999005491)]
[(24746.772727272728, 1485.2721390832555)]
[(32960.045454545456, 1572.5707091526551)]
[(14492.681818181818, 745.55018817294729)]
[(35412.86363636364, 1903.3415593775835)]
[(38828.909090909088, 1670.4661498719995)]
[(23390.136363636364, 1352.6850543889132)]
[(36444.13636363636, 1258.7691231532531)]
[(39726.227272727272, 2027.8107837655327)]
[(28851.81818181818, 1907.1143264878881)]
[(31962.090909090908, 1831.1537397991526)]
[(30921.18181818182, 1513.6235031648116)]
[(17207.454545454544, 922.84027051925659)]
[(20278.090909090908, 1195.99746446176)]
[(34975.045454545456, 1629.4379004240036)]
[(19737.909090909092, 1154.1218651424754)]
[(16247.818181818182, 976.79118139093578)]
[(21787.590909090908, 1125.4469271248038)]
