[(26231.727272727272, 2336.9673285917802)]
[(31349.81818181818, 2117.4257382804699)]
[(27615.863636363636, 2429.087405735796)]
[(30492.363636363636, 2617.8563086119566)]
[(27920.272727272728, 2204.6556473103437)]
[(34512.545454545456, 2256.3593737537212)]
[(33911.227272727272, 2519.5392750501633)]
[(20186.272727272728, 1884.3814319914038)]
[(44154.272727272728, 3470.9644134261393)]
[(39189.318181818184, 3179.8265219059858)]
[(22063.5, 1661.3679411519659)]
[(32230.090909090908, 2324.0326643748717)]
[(42342.454545454544, 3636.3471623984251)]
[(23660.0, 2204.2793590372257)]
[(18413.136363636364, 1685.7596371498976)]
[(57929.045454545456, 3965.0861684300685)]
[(23959.136363636364, 2035.6740006641908)]
[(21361.045454545456, 2061.0371777252717)]
[(55430.409090909088, 4083.9168123440309)]
[(25287.954545454544, 2224.5210810466247)]
[(19975.727272727272, 1804.1778250607576)]
[(60028.227272727272, 3851.0612442385068)]
[(24767.363636363636, 1731.1524415666406)]
[(34466.954545454544, 2546.5290297920055)]
[(24654.272727272728, 2026.3798642700369)]
[(28767.090909090908, 2217.3756204084916)]
[(17905.31818181818, 1594.3706172921441)]
[(31331.363636363636, 2365.4109796719117)]
[(19842.045454545456, 1839.6058786023748)]
[(28571.0, 2242.7917812954297)]
[(33566.090909090912, 2303.4071951129222)]
[(25593.590909090908, 2168.8856360153718)]
[(18479.772727272728, 1699.0711286176336)]
[(23794.863636363636, 2210.9244002103806)]
[(29934.772727272728, 2314.5437884005632)]
[(31231.045454545456, 2696.0570495887237)]
[(20717.136363636364, 1768.7743160833013)]
[(59387.454545454544, 4102.4477777697821)]
[(30882.772727272728, 2476.498753320087)]
[(19282.863636363636, 1803.5236470482566)]
[(54152.86363636364, 3579.1339593258772)]
[(22479.81818181818, 2054.4224130240354)]
[(18545.81818181818, 1763.7549339857969)]
[(40946.954545454544, 3428.7034991329365)]
[(23451.136363636364, 2004.7724788730795)]
[(25577.954545454544, 2136.937321608717)]
[(58951.227272727272, 3994.4997328519821)]
[(35290.63636363636, 3174.359973658215)]
[(31855.227272727272, 2349.0961629477415)]
[(33363.272727272728, 2252.2106979977002)]
[(14985.727272727272, 1553.9058265794408)]
[(24196.590909090908, 2052.1958292505956)]
[(33478.818181818184, 2987.7561830065465)]
[(25098.909090909092, 2198.8916374119844)]
[(35595.454545454544, 2723.3259923024611)]
[(31081.227272727272, 2682.435175072063)]
[(32886.318181818184, 2584.9944696209645)]
[(17669.136363636364, 1625.968865849755)]
[(27843.772727272728, 2153.1304934675045)]
[(55607.227272727272, 3771.5755037069321)]
[(47101.0, 3483.3302666273985)]
[(23862.727272727272, 2017.3150674646552)]
[(29102.227272727272, 2572.9761959422717)]
[(30489.272727272728, 2532.733824816617)]
[(37057.272727272728, 3013.5044055526905)]
[(26351.863636363636, 2511.4497438669205)]
[(37464.681818181816, 2783.0458857254548)]
[(21442.090909090908, 2057.4288737232037)]
[(35804.772727272728, 2230.5607638467441)]
[(20133.31818181818, 1829.3144183483992)]
[(22115.909090909092, 2166.3666733828459)]
[(22669.636363636364, 2247.3076084852219)]
[(22194.5, 1796.860332196409)]
[(21863.31818181818, 1878.6517526128075)]
[(19787.409090909092, 1654.6482375426726)]
[(18057.227272727272, 1666.5127526738427)]
[(15819.5, 1581.6212863271887)]
[(24265.590909090908, 2119.0932969938626)]
[(28381.954545454544, 2234.4426340514965)]
[(19182.772727272728, 1727.8340300971811)]
[(28265.0, 2231.304742531343)]
[(23314.090909090908, 2127.1207075119019)]
[(25427.545454545456, 2431.5613332878461)]
[(18142.772727272728, 1668.1087843938308)]
[(23699.0, 1935.7493122165854)]
[(21773.636363636364, 1802.9469974257729)]
[(26351.409090909092, 2059.636534701694)]
[(33501.13636363636, 2550.602773623033)]
[(32030.590909090908, 2703.2660884748807)]
[(40898.818181818184, 3166.8575271693144)]
[(30884.363636363636, 2502.487130154263)]
[(55162.681818181816, 3013.7495324936781)]
[(35360.63636363636, 3013.8207899982281)]
[(30482.545454545456, 2169.2722492218018)]
[(43959.181818181816, 3325.6819001978092)]
[(21399.863636363636, 1902.0369879115713)]
[(30638.272727272728, 2679.4592603336682)]
[(47829.590909090912, 2916.7304198850284)]
[(45481.045454545456, 3308.563580588861)]
[(30700.863636363636, 2101.1566057530317)]
[(23560.045454545456, 2114.4573926600542)]
[(23404.31818181818, 1968.7617743123662)]
[(20981.727272727272, 1900.173121896657)]
[(21962.727272727272, 1968.1744201291692)]
[(23499.0, 2006.4384698651054)]
[(44929.681818181816, 3164.3029357845135)]
[(38391.409090909088, 2437.8537121469326)]
[(16045.454545454546, 1459.431249911135)]
[(31933.772727272728, 2754.6214269291272)]
[(35228.409090909088, 2341.8448447964406)]
[(41360.954545454544, 3494.7202050902629)]
[(28410.772727272728, 2198.3902993418956)]
[(36608.545454545456, 2744.8719061504712)]
[(46391.36363636364, 4150.7931404547262)]
[(32233.954545454544, 2633.0508583784103)]
[(24690.81818181818, 1866.795455715873)]
[(25383.909090909092, 2049.810783765533)]
[(34299.272727272728, 1967.3649158477783)]
[(48249.454545454544, 3911.5881556164136)]
[(35101.454545454544, 2839.6660027070479)]
[(21932.590909090908, 1633.9392384940927)]
[(42911.909090909088, 3662.2223820903087)]
[(14324.954545454546, 1340.9613764069297)]
[(30574.772727272728, 2673.1463909582658)]
[(27338.772727272728, 2434.0620222416792)]
[(40465.227272727272, 3111.7788903604855)]
[(20780.909090909092, 1788.6495357751846)]
[(45007.227272727272, 3073.8954524343662)]
[(49359.545454545456, 3620.1278782541103)]
[(23604.045454545456, 1975.9988728328185)]
[(28264.090909090908, 2218.6420767957516)]
[(17394.636363636364, 1510.4377106103029)]
[(56213.818181818184, 2921.6499458659778)]
[(43695.409090909088, 2737.361890543591)]
[(19670.5, 1527.6121494878423)]
[(36288.045454545456, 2519.9363233284516)]
[(50236.36363636364, 3441.7143935073505)]
[(40328.181818181816, 2856.3393730033526)]
[(17926.909090909092, 1555.0720472227442)]
[(39930.63636363636, 3318.271091591228)]
[(25277.272727272728, 2277.0391250740399)]
[(36193.772727272728, 2472.212645346468)]
[(21262.5, 1618.1393303546038)]
[(31775.954545454544, 1927.9698945934122)]
[(14930.40909090909, 1482.6126087903976)]
[(48962.090909090912, 3720.430043068799)]
[(27169.272727272728, 2284.9606780789113)]
[(23218.727272727272, 1925.8359774459493)]
[(30248.272727272728, 2623.2714407552371)]
[(38664.045454545456, 2094.1866924112492)]
[(55649.954545454544, 4502.8203916224566)]
[(31404.909090909092, 2449.6079360896892)]
[(42119.36363636364, 3102.6574353088031)]
[(36692.909090909088, 2590.2832537347622)]
[(40746.181818181816, 2944.1828586404972)]
[(36671.227272727272, 2857.1715846386824)]
[(32625.545454545456, 2596.9131566719575)]
[(27436.090909090908, 2353.7008722045207)]
[(23953.545454545456, 1851.1987748796289)]
[(15535.90909090909, 1459.0455553098159)]
[(22408.227272727272, 1980.1759878505361)]
[(23092.363636363636, 1738.2890348542821)]
[(32381.727272727272, 2563.6763276403599)]
[(35608.5, 2936.9157531369815)]
[(55125.409090909088, 3492.6669517755508)]
[(55489.63636363636, 3841.5509591427717)]
[(17610.772727272728, 1732.0653170347214)]
[(26240.727272727272, 2108.3212586749682)]
[(50981.63636363636, 3545.4884588501668)]
[(37910.0, 2936.4462592601776)]
[(30422.090909090908, 2521.3893010616302)]
[(41848.954545454544, 2982.8051924597135)]
[(45300.5, 3098.6621384729037)]
[(27187.727272727272, 2530.5252452330155)]
[(26848.727272727272, 2084.9959272037854)]
[(62023.590909090912, 3572.0871667103333)]
[(22631.68181818182, 2077.303444298831)]
[(51353.727272727272, 3681.3088575059719)]
[(33757.818181818184, 2715.6464307958431)]
[(30224.18181818182, 2400.9918731559405)]
[(22467.090909090908, 1972.9908444122834)]
[(40182.909090909088, 2736.7168493704362)]
[(33730.409090909088, 2615.9126973694019)]
[(45731.909090909088, 3423.9131871353497)]
[(30332.0, 2596.0087689269672)]
[(20142.454545454544, 1662.1157043955543)]
[(48257.0, 3914.3658157045193)]
[(38376.36363636364, 2825.4088729728351)]
[(23905.909090909092, 2074.3401814699173)]
[(30072.68181818182, 2311.1689881736584)]
[(19502.727272727272, 1630.1308426315134)]
[(35489.954545454544, 3025.8756110343065)]
[(30320.045454545456, 2428.8062704151325)]
[(23313.0, 2059.3642667315221)]
[(24484.590909090908, 2082.1955597617412)]
[(27238.863636363636, 2253.1730422215028)]
[(17973.772727272728, 1809.920046210289)]
[(25451.68181818182, 2125.2577601020985)]
[(18204.363636363636, 1725.9361030513589)]
[(72015.454545454544, 4614.4142065048218)]
[(26140.227272727272, 2230.1004068092866)]
[(21411.5, 1918.8988269025629)]
[(34476.36363636364, 2839.0171769749036)]
[(60827.0, 4029.2062455740843)]
[(40923.090909090912, 3525.3939550139689)]
[(34482.409090909088, 2636.6226150230927)]
[(24887.0, 2258.9865208755841)]
[(17406.5, 1643.5267824909904)]
[(36286.227272727272, 3109.3452947248111)]
[(24061.68181818182, 1991.5971213904295)]
[(20607.545454545456, 1996.0200124653902)]
[(36403.454545454544, 2834.3551603555679)]
[(50733.454545454544, 3081.7826749194751)]
[(25420.727272727272, 2319.2215923721142)]
[(20184.909090909092, 1612.0539633577521)]
[(35553.13636363636, 2697.0036064603114)]
[(29578.045454545456, 2642.7593981244349)]
[(18759.5, 1632.0646679184654)]
[(33864.954545454544, 2326.2131843241777)]
[(19171.68181818182, 1805.2192653959448)]
[(19851.0, 1883.1187601631339)]
[(35092.272727272728, 2822.1055997393346)]
[(28114.409090909092, 2385.6460511684418)]
[(32550.590909090908, 2646.9402977011418)]
[(20493.454545454544, 1964.2185366045344)]
[(42052.045454545456, 3063.0919495495882)]
[(20486.636363636364, 1599.7139529531653)]
[(29668.68181818182, 2474.9566240310669)]
[(49476.0, 3411.2451691194015)]
[(43532.772727272728, 3280.8474717248569)]
[(28019.5, 1988.408193393187)]
[(43829.818181818184, 3556.5847202214327)]
[(16732.81818181818, 1706.8322725621138)]
[(23620.409090909092, 2038.0855380621824)]
[(49367.63636363636, 3112.5045953663912)]
[(28926.045454545456, 2258.7964844595303)]
[(24609.909090909092, 2194.1111113699999)]
[(37312.772727272728, 3225.1714252883739)]
[(38401.045454545456, 2853.7936489690433)]
[(16038.0, 1594.7843715277586)]
[(66363.590909090912, 3892.7492934682155)]
[(24245.863636363636, 1897.8293269330804)]
[(44039.590909090912, 2993.9808194312182)]
[(29723.18181818182, 2451.7850511074066)]
[(21202.772727272728, 2078.2421625635839)]
[(57919.590909090912, 4127.1779164509344)]
[(19459.545454545456, 1919.0075503696096)]
[(27700.68181818182, 2429.6914658763194)]
[(19791.590909090908, 1970.0140110687776)]
[(21106.0, 1796.8032943227074)]
[(34753.090909090912, 2630.6642451719804)]
[(22875.090909090908, 2080.4955077388072)]
[(17013.590909090908, 1460.1008356484499)]
[(23829.272727272728, 1881.5630603595214)]
[(25208.0, 2201.3419390049849)]
[(14717.90909090909, 1442.4613365693526)]
[(40144.0, 2987.9404875148425)]
[(27962.636363636364, 2563.2440302371979)]
[(16664.5, 1491.2516485669396)]
[(23396.590909090908, 2151.3283684903927)]
[(26486.227272727272, 1862.9630542668428)]
[(27199.68181818182, 2110.3584551486101)]
[(35761.727272727272, 2284.5916894349184)]
[(36663.681818181816, 2758.7064142985778)]
[(35299.318181818184, 2746.152851657434)]
[(26504.454545454544, 2364.5497897971759)]
[(21485.68181818182, 1937.3286379792473)]
[(47163.181818181816, 3534.8182239965959)]
[(28712.227272727272, 2305.1903972950849)]
[(21181.363636363636, 1674.4869098771703)]
[(34872.0, 2108.5260536995802)]
[(20380.227272727272, 1751.8721451759338)]
[(34218.090909090912, 3018.5625518452039)]
[(37622.227272727272, 3048.0529955408788)]
[(27144.772727272728, 2125.2272141413255)]
[(56109.318181818184, 3547.1705066832628)]
[(17861.045454545456, 1674.8231357227671)]
[(49494.772727272728, 3738.0046656673603)]
[(51522.318181818184, 3032.3618108684368)]
[(23311.090909090908, 2225.707792206244)]
[(30833.272727272728, 2508.6932234113865)]
[(55376.545454545456, 4196.6567369807854)]
[(38603.545454545456, 2889.4977550398221)]
[(23312.363636363636, 1728.7812360850248)]
[(60873.454545454544, 3788.198756131259)]
[(44414.63636363636, 3439.2291122783313)]
[(35777.86363636364, 2976.5641195665708)]
[(35291.954545454544, 2502.0223394415593)]
[(41227.63636363636, 2839.6802223378963)]
[(19580.727272727272, 1828.0240665132349)]
[(35685.409090909088, 2289.1362253752623)]
[(25529.68181818182, 2126.5037259730425)]
[(19072.909090909092, 1795.1644443598661)]
[(21842.545454545456, 1854.8723349896345)]
[(34858.818181818184, 2690.6535406112671)]
[(33527.227272727272, 2712.3913280855527)]
[(19937.18181818182, 1895.4153032086112)]
[(22058.090909090908, 1848.8275693980131)]
[(21293.68181818182, 1887.0434486107392)]
[(26534.81818181818, 2160.1447927735067)]
[(22771.909090909092, 2095.4981838789854)]
[(23313.727272727272, 1968.6089343699541)]
[(20951.909090909092, 1907.5476526347074)]
[(22052.0, 2045.5095375559547)]
[(19177.272727272728, 1507.6678891290319)]
[(49474.590909090912, 3439.1046014590697)]
[(18305.31818181818, 1757.3805930614471)]
[(32911.272727272728, 2272.0115247423)]
[(39895.36363636364, 2972.1106825308366)]
[(45152.0, 2843.0234478603711)]
[(50988.86363636364, 3373.4392595832996)]
[(21071.409090909092, 1759.9565935676749)]
[(22706.045454545456, 2218.7737771055913)]
[(49840.63636363636, 3669.9173513217406)]
[(37808.272727272728, 2946.6457020044327)]
[(53307.36363636364, 4649.3598447712984)]
[(23208.090909090908, 2004.6407785632393)]
[(26203.409090909092, 2363.1484976573424)]
[(40118.13636363636, 3377.8986980156465)]
[(24517.363636363636, 2102.2144825566897)]
[(22640.18181818182, 2137.7339044917712)]
[(22630.772727272728, 2002.2802776423368)]
[(35725.090909090912, 2741.4621262875471)]
[(14645.954545454546, 1449.1741201769221)]
[(38630.13636363636, 2964.8426584222102)]
[(50858.909090909088, 4084.4629160057416)]
[(47968.409090909088, 3486.4561553543263)]
[(34010.045454545456, 2382.1168432777577)]
[(34157.63636363636, 2734.6544592163777)]
[(31300.636363636364, 2855.2198653004384)]
[(33546.272727272728, 2618.1600411480122)]
[(43286.772727272728, 3096.4613974961367)]
[(23427.227272727272, 2033.4433628429067)]
[(27722.31818181818, 2508.4483659592543)]
[(53720.181818181816, 3750.3903602686796)]
[(26607.090909090908, 2238.2601667534223)]
[(19667.18181818182, 1918.5846592946486)]
[(30970.227272727272, 2750.9242408600721)]
[(38172.090909090912, 2917.2818758270955)]
[(20672.363636363636, 1870.493560390039)]
[(13394.454545454546, 1359.8597627553072)]
[(16392.0, 1421.3332310048017)]
[(66399.363636363632, 4144.9566849578514)]
[(20964.909090909092, 1715.3077678355303)]
[(49152.318181818184, 3123.0097179954701)]
[(21071.090909090908, 1868.7217118848455)]
[(14246.136363636364, 1546.9122872786088)]
[(41809.727272727272, 3661.2905838272786)]
[(26663.045454545456, 2288.3263414664702)]
[(26553.18181818182, 2358.4637736840682)]
[(50851.454545454544, 3513.1796435226092)]
[(32429.090909090908, 2642.8331419554625)]
[(40128.954545454544, 2949.6033430641346)]
[(23817.909090909092, 2100.2869281552053)]
[(28569.363636363636, 2361.4071951129222)]
[(13841.181818181818, 1283.6262589801443)]
[(33699.681818181816, 2584.6827883395281)]
[(17822.409090909092, 1694.7134936506097)]
[(21208.18181818182, 1959.0387454466386)]
[(29783.5, 2078.4703140583906)]
[(23891.954545454544, 1889.7836427363482)]
[(28003.0, 2307.8675521503797)]
[(57495.86363636364, 4125.4145556688309)]
[(55342.272727272728, 3951.5159795067525)]
[(34073.409090909088, 2868.0788383375516)]
[(27816.363636363636, 2544.6528914950109)]
[(30048.81818181818, 2479.091190294786)]
[(24014.363636363636, 1993.6153950691223)]
[(43429.545454545456, 2809.8576068444686)]
[(53117.86363636364, 4008.4417763731694)]
[(25245.81818181818, 2105.8983676000075)]
[(45296.818181818184, 3069.2447894920001)]
[(27819.636363636364, 2326.2403253533626)]
[(14496.90909090909, 1448.3891604596918)]
[(25410.409090909092, 2119.3450744477186)]
[(40674.454545454544, 3080.390519618988)]
[(17470.31818181818, 1606.9182886752214)]
[(24273.727272727272, 2175.7336350029163)]
[(39528.13636363636, 2725.1533109599895)]
[(30904.68181818182, 2476.688140619885)]
[(36997.681818181816, 3168.4535588893023)]
[(29166.545454545456, 2488.7473953312092)]
[(16599.454545454544, 1670.8694690357554)]
[(24673.272727272728, 2023.7165494181893)]
[(30844.5, 2722.1446334231982)]
[(45928.545454545456, 3024.843307538466)]
[(33165.590909090912, 2835.936702955853)]
[(23093.363636363636, 2164.7432311448183)]
[(58383.5, 4055.2144638083196)]
[(21069.636363636364, 1829.2230499549346)]
[(26923.090909090908, 1869.567114407366)]
[(49467.36363636364, 3265.2876077348537)]
[(27213.590909090908, 2245.115355231545)]
[(45066.545454545456, 3552.4233925559306)]
[(31630.272727272728, 2736.363917567513)]
[(41948.63636363636, 2979.4769950346513)]
[(18987.090909090908, 1841.3462625416842)]
[(42275.318181818184, 2835.4133066480808)]
[(32642.227272727272, 2619.1034625768661)]
[(33374.272727272728, 2861.2711712663822)]
[(28161.545454545456, 2499.7286623499608)]
[(37569.090909090912, 2629.9227528138595)]
[(20127.18181818182, 1877.9663795232773)]
[(38378.681818181816, 2842.9554359371014)]
[(30452.727272727272, 2558.4467982378874)]
[(24058.227272727272, 2332.0005506927318)]
[(54681.0, 3823.1047115976162)]
[(17808.545454545456, 1639.1168128143656)]
[(37886.590909090912, 2998.0035267851567)]
[(24731.863636363636, 2046.108894532377)]
[(27126.909090909092, 2062.932238817215)]
[(36735.590909090912, 3275.8318741863422)]
[(24730.363636363636, 2168.6200185580688)]
[(18120.227272727272, 1744.0379065166819)]
[(34809.318181818184, 2889.4719122431493)]
[(18879.727272727272, 1839.8126209757545)]
[(30970.81818181818, 2323.4963466687636)]
[(21861.136363636364, 1973.4449305642736)]
[(21467.727272727272, 1943.9380504001272)]
[(22032.0, 2204.2730881517582)]
[(54802.045454545456, 3834.3878739422016)]
[(12632.636363636364, 1294.4411155418916)]
[(40253.727272727272, 2961.5418715151873)]
