[(35094.318181818184, 2264.2884958765721)]
[(37295.090909090912, 2748.8879629915409)]
[(20645.727272727272, 1967.6169627904892)]
[(41102.5, 3309.8028959469361)]
[(48982.13636363636, 4106.8035755265846)]
[(22854.81818181818, 2129.1503348675642)]
[(37211.681818181816, 3109.3497284000568)]
[(41414.545454545456, 3178.0253155339847)]
[(30166.272727272728, 2394.5315161184831)]
[(38735.727272727272, 2937.7466665397992)]
[(25649.954545454544, 2266.7722093842244)]
[(33768.954545454544, 2660.2451386560092)]
[(37696.681818181816, 2768.1065183444457)]
[(12770.90909090909, 1307.5090477900071)]
[(13839.045454545454, 1347.0221988396211)]
[(21823.090909090908, 1802.7658283602107)]
[(38813.772727272728, 2575.5490610057659)]
[(22629.31818181818, 2070.4154930223117)]
[(27649.18181818182, 2503.3688105453143)]
[(28903.045454545456, 2432.4751273610377)]
[(41827.5, 2297.3138793706894)]
[(48566.227272727272, 3204.8386043743653)]
[(16134.0, 1551.7788294337013)]
[(40196.227272727272, 2841.8957219232211)]
[(48057.454545454544, 3067.5081901116805)]
[(58996.36363636364, 4028.0560817718506)]
[(29736.954545454544, 2580.9443517489867)]
[(13368.954545454546, 1376.3563976612959)]
[(37578.13636363636, 2446.8677419640803)]
[(34767.590909090912, 2521.3835691538725)]
[(26679.272727272728, 2425.523487697948)]
[(32778.63636363636, 2658.4802101525393)]
[(19253.272727272728, 1753.8280287005684)]
[(28387.136363636364, 2286.5226487679915)]
[(32812.590909090912, 2870.6167237650266)]
[(71653.090909090912, 4470.5083307136192)]
[(20042.31818181818, 1734.4078137657859)]
[(27979.68181818182, 2284.8406009348955)]
[(41574.0, 3279.251440004869)]
[(34089.045454545456, 2694.3280193263836)]
[(44583.318181818184, 3704.4886486638675)]
[(36766.681818181816, 2714.4527996345)]
[(20222.545454545456, 1684.2039373462851)]
[(34884.0, 2579.5600350553341)]
[(17051.545454545456, 1515.9508616599169)]
[(34346.545454545456, 2743.7346637465739)]
[(42566.954545454544, 3096.7015517841687)]
[(25951.454545454544, 1975.0929173664613)]
[(35700.454545454544, 2587.4425543763423)]
[(51001.909090909088, 3633.5253858349538)]
[(36438.181818181816, 2458.4811287576504)]
[(29379.636363636364, 2719.3344800255513)]
