[(46104.727272727272, 1767.5718175714667)]
[(44299.545454545456, 2514.5078901594334)]
[(46786.272727272728, 2681.0697811733594)]
[(24676.909090909092, 1376.4609569419515)]
[(47614.36363636364, 2041.45406740362)]
[(39558.409090909088, 1615.8220273039558)]
[(36914.954545454544, 2339.9056672291322)]
[(37775.818181818184, 2040.108245416121)]
[(34091.772727272728, 2106.3880825042725)]
[(63118.909090909088, 3365.8913983865218)]
[(37044.681818181816, 2113.9948187849736)]
[(63829.227272727272, 3768.160641052506)]
[(40071.681818181816, 1864.0942952741277)]
[(47299.454545454544, 3178.445340655067)]
[(47628.090909090912, 2492.6887897361407)]
[(48648.86363636364, 2222.8049721826205)]
[(43664.772727272728, 2181.8441956801848)]
[(60121.13636363636, 2706.7054956934667)]
[(50445.0, 2692.0466145168652)]
[(28814.18181818182, 1662.1119198365645)]
[(68177.136363636368, 3537.7190966714511)]
[(41293.772727272728, 2159.7178476507015)]
[(41210.5, 1935.7779108285904)]
[(49701.272727272728, 2172.8270304203033)]
[(59531.590909090912, 2758.4452305165205)]
[(53471.954545454544, 2415.0161482312465)]
[(50425.36363636364, 2931.1989951567216)]
[(37642.86363636364, 1897.8148378133774)]
[(50403.227272727272, 2183.0028472055087)]
[(71780.136363636368, 2827.0628611716356)]
[(32857.409090909088, 2403.8231661861591)]
[(46518.454545454544, 1959.3912976221604)]
[(32006.31818181818, 1993.1143264878881)]
[(51601.590909090912, 2760.5895827358418)]
[(37901.86363636364, 2309.3532926819539)]
[(49809.954545454544, 2544.8793651299043)]
[(40113.181818181816, 2151.4549860087309)]
[(73780.181818181823, 3232.9025622497907)]
[(59679.818181818184, 2303.2971734133635)]
[(52357.090909090912, 3055.074594476006)]
[(32665.409090909092, 1944.6246115836229)]
[(66688.863636363632, 3389.1887803619557)]
[(33605.86363636364, 1889.6931929479945)]
[(71585.181818181823, 3156.7002535516567)]
[(26653.0, 1397.5679228739305)]
[(30261.454545454544, 2253.0286900021815)]
[(58410.227272727272, 3234.5168676484714)]
[(71553.272727272721, 3391.588314966722)]
[(56264.454545454544, 2530.5274620706386)]
[(59887.5, 3405.1282274181194)]
[(68036.681818181823, 4143.29474801367)]
[(42019.13636363636, 2652.270981452682)]
[(18685.545454545456, 1155.4576316855171)]
[(39973.63636363636, 2103.1398997957058)]
[(56239.5, 2134.4618263353)]
[(59498.13636363636, 2611.637832934206)]
[(35178.86363636364, 2058.1980460882187)]
[(36722.86363636364, 2236.6240726059132)]
[(27153.954545454544, 1485.7574203122747)]
[(63395.86363636364, 2670.4336073506961)]
[(38807.5, 1657.8733332698996)]
[(44191.36363636364, 2185.5779291066256)]
[(42364.13636363636, 2122.4422544240952)]
[(58252.318181818184, 2968.02180046385)]
[(57484.272727272728, 3253.2139740423722)]
[(57725.818181818184, 2640.1010559255428)]
[(43022.909090909088, 2423.8760398734698)]
[(38034.772727272728, 2206.0647780570116)]
[(66725.636363636368, 3477.4537487030029)]
[(25535.409090909092, 1519.4976941130378)]
[(45850.772727272728, 1888.544327378273)]
[(50067.36363636364, 3179.8759906617079)]
[(43808.227272727272, 2318.38154212995)]
[(33739.454545454544, 1729.88506657427)]
[(52897.0, 2149.6131782314992)]
[(48060.86363636364, 2432.7429616559634)]
[(45881.63636363636, 1741.7413634712045)]
[(38930.272727272728, 2271.1500653787093)]
[(50226.045454545456, 2738.705875320868)]
[(27955.772727272728, 1823.0931868553162)]
[(24071.727272727272, 1390.1783640384674)]
[(32036.863636363636, 1830.1040812297301)]
[(47538.181818181816, 2318.4419849352403)]
[(41085.86363636364, 2415.9822770140386)]
[(50389.318181818184, 2749.3190723007374)]
[(28344.31818181818, 2078.1257598400116)]
[(72007.772727272721, 3282.2922312238002)]
[(42794.181818181816, 1649.670216105201)]
[(61676.0, 3490.8178443691945)]
[(23521.545454545456, 1571.4154625589197)]
[(38213.409090909088, 1939.7168189070442)]
[(63577.409090909088, 3260.0302881869402)]
[(57881.454545454544, 2469.9227528138595)]
[(44504.727272727272, 2851.7448293295774)]
[(38893.181818181816, 1992.8707672682676)]
[(56161.772727272728, 3171.8056517622686)]
[(66187.863636363632, 3369.3648666360164)]
[(40951.181818181816, 1870.456633405252)]
[(53594.454545454544, 3379.09378675981)]
[(33339.318181818184, 2540.583850828084)]
[(38186.5, 2212.8081076253543)]
[(47296.681818181816, 2109.7341739806261)]
[(67580.272727272721, 3745.4866216399455)]
[(72314.272727272721, 3424.1012762026353)]
[(59924.681818181816, 2795.3953024582429)]
[(54814.272727272728, 2497.7436904473739)]
[(29940.727272727272, 1575.8024553927507)]
[(33602.36363636364, 2209.8199206048794)]
[(38605.63636363636, 2059.3582653349094)]
[(31285.227272727272, 1926.7087904865091)]
[(36245.681818181816, 2123.4921824823728)]
[(47741.86363636364, 2905.6376735838976)]
[(63758.86363636364, 2813.0802162452178)]
[(26342.363636363636, 1631.4760155027564)]
[(49107.409090909088, 2443.0126331611114)]
[(44391.5, 2765.0851888981733)]
