[(0.71430972035588336, 0.0041225572970707731)]
[(0.39675541516932911, 0.0033043129366565945)]
[(0.34364944697804362, 0.0042723362092950256)]
[(0.68991983388618272, 0.0045619193044949338)]
[(0.64047578072154376, 0.0042571510169303554)]
[(0.45647268532697821, 0.0035729375525089626)]
[(0.22311758858668465, 0.0031197301507448639)]
[(0.62711225031290019, 0.0042269751155996453)]
[(0.44520132127173556, 0.0039044023699642228)]
[(0.65603092365256965, 0.0037119147104903594)]
[(0.40160692125114095, 0.0039210233722101646)]
[(0.27336323714918614, 0.0033461235633002969)]
[(0.7694288072356753, 0.0032925626912718295)]
[(0.49694198769324455, 0.0038490668620492162)]
[(0.82670246482803389, 0.00068843936862881215)]
[(0.61010982756372178, 0.0028307575926867544)]
[(0.56442036543285212, 0.0043757287813810707)]
[(0.85881572952445684, 0.0033619959594534256)]
[(0.51679414421962055, 0.003697408828877822)]
[(0.53113665174597835, 0.0039173725395364074)]
[(0.37722563619562327, 0.002840504617490591)]
[(0.55080282164919681, 0.0041551791772767351)]
[(0.33834931559649312, 0.0048092663258587284)]
[(0.50075507007344167, 0.003847999137701803)]
[(0.44168279420480561, 0.0035794775468085353)]
[(0.66096379852220544, 0.0033660168550649506)]
[(0.55789947804818651, 0.003914727261661457)]
[(0.69088601752918888, 0.0031895354254494611)]
[(0.69186279046010868, 0.0041800587163319733)]
[(0.79993658090401587, 0.0042507417921753008)]
[(0.59252645312367325, 0.0046511160912072131)]
[(0.41745083520435977, 0.0034224437458701706)]
[(0.48853695897225741, 0.0044865018702039267)]
[(0.054312417875419239, 0.0036282303855573626)]
[(0.79483124174189845, 0.0043725982759243382)]
[(0.38101617195513759, 0.0035559001246646999)]
[(0.87881242150864647, 0.00200110390310115)]
[(0.54596912042848034, 0.004110321058996844)]
[(0.59587322771826545, 0.004112627209170194)]
[(0.32268674328765062, 0.0037396684970247979)]
[(0.53174525426545316, 0.0049638550703237092)]
[(0.63137247003400476, 0.0040259653690378604)]
[(0.79452881186313018, 0.0041544067069375105)]
[(0.48501728956442419, 0.0031514616732848562)]
[(0.37323524341514186, 0.0034015520284957045)]
[(0.69050663386359579, 0.004449958636561461)]
[(0.68152252225919874, 0.0045045846184080408)]
[(0.39222624989082944, 0.0034036559203622454)]
[(0.54215779967337796, 0.0034792723858360682)]
[(0.23128331715435027, 0.0044406773341919299)]
[(0.75699127755053486, 0.0028690917584460597)]
[(0.60619925554009035, 0.0043217296311589279)]
[(0.67764196533804499, 0.0028674293816911725)]
[(0.62829830803879838, 0.0044784829118100942)]
[(0.13283763552087943, 0.0035531796560270531)]
[(0.29896709266852922, 0.0049692823161831007)]
[(0.31546202648107713, 0.0033401195550346202)]
[(0.53158708857109171, 0.0032082107363375321)]
[(0.78541517362971258, 0.0040305391416570373)]
[(0.25740996573254288, 0.002901960953990155)]
[(0.30489767050138172, 0.0030545937975848441)]
[(0.46504072414399927, 0.0036071316116471123)]
[(0.84318695396358834, 0.0029906038579784635)]
[(0.45891497458488389, 0.0042515963177697531)]
[(0.40780093576329007, 0.0030636360910387224)]
[(0.38572391285858243, 0.0036668659435921736)]
[(0.20732393937312713, 0.0022760141910180276)]
[(0.95384812747607584, 0.0014578842553421769)]
[(0.53804291965330964, 0.0040720412071402878)]
[(0.35809667178643889, 0.0032222691728861913)]
[(0.69600658565448636, 0.0038885226353851236)]
[(0.83519662853594123, 0.0023875934442427775)]
[(0.45157249423383855, 0.0036238235220901983)]
[(0.61646120317862241, 0.003759602225699737)]
[(0.5041031671363233, 0.0037851304643703081)]
[(0.47063297928412079, 0.0043538851952351111)]
[(0.3974476083534052, 0.003767486245632654)]
[(0.43997101551382511, 0.0031602456809052448)]
[(0.44486704398487242, 0.0041027687096584203)]
[(0.39803725439912702, 0.0037315945870032528)]
[(0.73194782815741355, 0.0030259389414553938)]
[(0.62291790174891826, 0.0033751677394985883)]
[(0.39608106152290562, 0.0043089150841945567)]
[(0.60380341247396574, 0.0041060600057920005)]
[(0.79982907180733231, 0.003428293531652445)]
[(0.48201688305239188, 0.0040307833457952323)]
[(0.50651048995242209, 0.0043000692346225802)]
[(0.76795774411960893, 0.0038222393371130899)]
[(0.45774690846641208, 0.0039510477639248002)]
[(0.66359549919290084, 0.0041270243325065032)]
[(0.70053214111799889, 0.0032434137581679955)]
[(0.51012202191220402, 0.0026008593418710862)]
[(0.53418689258888685, 0.0042388389462011062)]
[(0.70423914247274821, 0.0039745982709561388)]
[(0.66530231004193219, 0.0045211399677036676)]
[(0.41216205735203981, 0.0036112572561336994)]
[(0.48304607928545079, 0.0034696084455867388)]
[(0.73255724813548861, 0.0040542873888429788)]
[(0.52083309226085961, 0.0030896711201265459)]
[(0.65648606126656994, 0.0035663795238630018)]
[(0.31998348992709763, 0.0039142409995567545)]
[(0.63204049526401085, 0.003193655651510119)]
[(0.45836602230181978, 0.0034824844731658929)]
[(0.84566344403273885, 0.0040817372003513278)]
[(0.37833368712293175, 0.0040113403124449852)]
[(0.77867573023109216, 0.0026518612235013369)]
[(0.75875381134900166, 0.0032921978987990957)]
[(0.75214574471513784, 0.0037508222612691669)]
[(0.49293755875427925, 0.0028917651363216121)]
[(0.72023561530963043, 0.0040213132914389453)]
[(0.80777917835170343, 0.0042948383858606347)]
[(0.51923612311510692, 0.0039867183684138708)]
[(0.57583588996824764, 0.0035964357704966559)]
[(0.67850130703589873, 0.0030263380986731503)]
[(0.51381802274130584, 0.0040191639843933612)]
[(0.36736292470890625, 0.0035576179297281654)]
[(0.56031022909207184, 0.0023355283129958518)]
[(0.61806190817533491, 0.0039948911619660365)]
[(0.7855339955269085, 0.0040382678471541315)]
[(0.3060963164701368, 0.0032930067536226389)]
[(0.75521064649913849, 0.0034375393552343769)]
[(0.48574000999751649, 0.0044213664688725384)]
[(0.69701209427009969, 0.0039118485292281274)]
[(0.4059935612745782, 0.0041813174798672288)]
[(0.295483654606781, 0.0040892987132725095)]
[(0.46799023941605006, 0.0032412766910828381)]
[(0.55707919436644615, 0.0034745661184099525)]
[(0.67719826458660759, 0.004980509383267764)]
[(0.16004147695059384, 0.0035841824176340476)]
[(0.3691860923340638, 0.0041300239522599593)]
[(0.40670307419359669, 0.0035183597632498786)]
[(0.42625411363192728, 0.0041710053483981864)]
[(0.55768157473358726, 0.0044351383404601218)]
[(0.18728430764597451, 0.0035914276282263814)]
[(0.50724029604046139, 0.0035683527101693225)]
[(0.29728306582873665, 0.0038877071347415385)]
[(0.67400859092253451, 0.0037939950430375328)]
[(0.84224104342847406, 0.0033502110820921699)]
[(0.21929166939678876, 0.0034811878703174402)]
[(0.3849342481547145, 0.0030285357006821787)]
[(0.82663667995134182, 0.0026975127789509129)]
[(0.19055590813807874, 0.0021936655001880208)]
[(0.63485147812889642, 0.0037555855890660079)]
[(0.78986019456207435, 0.0043688357309497657)]
[(0.74963738422625259, 0.0037050928223864286)]
[(0.26023678204231887, 0.0041615443288290496)]
[(0.044561541197159431, 0.0033717166169990273)]
[(0.38492728959241068, 0.0036954775521230829)]
[(0.7558246791080917, 0.0027439062988310059)]
[(0.30068522312825147, 0.0035008624958164352)]
[(0.54974184200596921, 0.0037694453893072108)]
[(0.36174250634555233, 0.001144578280561115)]
[(0.57337257142966114, 0.0044929609129290872)]
[(0.37486282109143215, 0.0033128158290702862)]
[(0.48354019351283561, 0.002820522918026285)]
[(0.71977225654338073, 0.0039425116614874136)]
[(0.75529810146412824, 0.0039392008505844834)]
[(0.51390933720329546, 0.0039978388989485242)]
[(0.49591716820921788, 0.0034915871312524824)]
[(0.48007119088204686, 0.0035803177981880712)]
[(0.33795635918481537, 0.0043945795514220825)]
[(0.51004041010013645, 0.0032087021597380066)]
[(0.73839532950039355, 0.0050016096772761889)]
[(0.58374892855161087, 0.0040318689600692282)]
[(0.46719533619640102, 0.0036019135009042994)]
[(0.73294766275662537, 0.0042621982814251003)]
[(0.74391383353019402, 0.0027649749912297852)]
[(0.071242469708809972, 0.0017242249405643871)]
[(0.74158018345760801, 0.0035705030556496781)]
[(0.60927244462810359, 0.0038732644122529258)]
[(0.10931146833718831, 0.0039081983021670118)]
[(0.55033745010394386, 0.0034289491031418255)]
[(0.59871986781202347, 0.0030452066733758745)]
[(0.27011084155504128, 0.0034781589207179085)]
[(0.42095165663018147, 0.0034175425739985687)]
[(0.49185153003417137, 0.0039268180198255417)]
[(0.34131963859747588, 0.0035498742145323946)]
[(0.36606170441312824, 0.0036083904197657451)]
[(0.56104091661731548, 0.0036448625160700409)]
[(0.50312043152910912, 0.0045205805192003188)]
[(0.57120382140490922, 0.0026201049397011592)]
[(0.70229273893067923, 0.0038220657312194629)]
[(0.61011291061829953, 0.0035515789699658126)]
[(0.31496315939692232, 0.0039666060266297541)]
[(0.50397381398811869, 0.0035804374771583177)]
[(0.37599463828475788, 0.0032719860987642088)]
[(0.60372052056968162, 0.0036559645609176841)]
[(0.91914875265069462, 0.0019567495960967568)]
[(0.58252276310533846, 0.0029791241124709909)]
[(0.351301025461568, 0.0052466648965374275)]
[(0.25653375335678968, 0.0043912620938926922)]
[(0.27341836660557967, 0.0041721214105105492)]
[(0.62965539800584169, 0.0041270658282753416)]
[(0.51357057020598473, 0.0039110036695814351)]
[(0.38592290344171731, 0.0046368955009684796)]
[(0.31139464791384169, 0.0049425032137522399)]
[(0.48858957789416818, 0.0040281721212042593)]
[(0.59773663312857528, 0.0039521819612930564)]
[(0.52194454480427099, 0.003175678826539536)]
[(0.76432178509799298, 0.0037416528396274286)]
[(0.57453199867955573, 0.0034814057659123816)]
[(0.18478672923936473, 0.0036834498704647338)]
[(0.78751304700815861, 0.0036597332575853156)]
[(0.4499944711788158, 0.0022510636685515385)]
[(0.35191545811296271, 0.0042031304082793472)]
[(0.25617032599769179, 0.0038488456987011009)]
[(0.55634818674706765, 0.0040905497941872504)]
[(0.22738673432461493, 0.0033852406720783932)]
[(0.57197609003426997, 0.0036851899377477438)]
[(0.57461045856127058, 0.0034106845951770979)]
[(0.68273365988149803, 0.0040902582064845545)]
[(0.6271923336119869, 0.0036886508877711972)]
[(0.56828271361665783, 0.0035937095495467888)]
[(0.4864716935263097, 0.0038836544778610605)]
[(0.24807643656832482, 0.0046805955425067887)]
[(0.80358176812319215, 0.0046799952916221259)]
[(0.5461519771524147, 0.0039094405322602473)]
[(0.70338434737099975, 0.0035103074922883601)]
[(0.41390720093581351, 0.0036600443324636615)]
[(0.63311420503101323, 0.0048111657698190393)]
[(0.8360596373917869, 0.0029955674860833149)]
[(0.58972531521812666, 0.0035571427292062246)]
[(0.6700932435578999, 0.0038358597877532754)]
[(0.51565517486152046, 0.0037472696060324049)]
[(0.7088509934553241, 0.0045410384199454836)]
[(0.15234454910516931, 0.0031325043050838461)]
[(0.42669149146702345, 0.0033136269427043335)]
[(0.60916856494163463, 0.0040117049873688894)]
[(0.66995808300608528, 0.0040785472870854527)]
[(0.49919729300089399, 0.0033805413941151619)]
[(0.62414890162634173, 0.0035302954560271086)]
[(0.70409113090444997, 0.0031308989754600318)]
[(0.31789053822913305, 0.0035675036971375956)]
[(0.079214965763672859, 0.0033504898197430563)]
[(0.20801808688922374, 0.0037980695097820415)]
[(0.51735374371352261, 0.0033344204087058849)]
[(0.74056043417639306, 0.0035163831752310468)]
[(0.92314852141335768, 0.0021248213627665176)]
[(0.46803135174806726, 0.0033778934482375875)]
[(0.49191113422201233, 0.0035134977144639589)]
[(0.75220752062224483, 0.003641838353386705)]
[(0.69699568040787396, 0.0037504206310983658)]
[(0.47579862815855095, 0.0041726150347612349)]
[(0.42381215635211683, 0.002839952892529648)]
[(0.84420697874458372, 0.0039372154028437644)]
[(0.53636316208976542, 0.0050555767816469104)]
[(0.52901881817523644, 0.0036583481806624924)]
[(0.49141619028911587, 0.0027390803534836639)]
[(0.43198707194337399, 0.0039057085655259689)]
[(0.41666061582486391, 0.0037073437832051319)]
[(0.83321438316453367, 0.0047602724720824776)]
[(0.15750052986722404, 0.0037125347733859356)]
[(0.72548292052490848, 0.0038899569340900067)]
[(0.36076566988845121, 0.0035067397243513064)]
[(0.73133937957242823, 0.004311087962782215)]
[(0.70173862613873428, 0.0038926861269329839)]
[(0.69662033898515019, 0.0040841019485398271)]
[(0.43467597713233508, 0.0032778723864992122)]
[(0.75752515661339181, 0.0040569791775078197)]
[(0.088981757377507298, 0.0032533603713496492)]
[(0.27460681856652408, 0.003271732710817652)]
[(0.78035492051254518, 0.0039747301946522328)]
[(0.77754445185911103, 0.0048079437693302812)]
[(0.39666663586726891, 0.0038491616765331752)]
[(0.76191614740966918, 0.0040616869299955321)]
[(0.52792019611893992, 0.0052743734812287033)]
[(0.52119429006217355, 0.0042442477272952401)]
[(0.43657584371452413, 0.0040917248948801679)]
[(0.50203527496920597, 0.0036048414305363333)]
[(0.71832217524718034, 0.0038583630905919858)]
[(0.032931682157468951, 0.0029776908937045915)]
[(0.69840588097690537, 0.0036253474631726917)]
[(0.38316005462550046, 0.0026936185486510192)]
[(0.62663191704011345, 0.004833981244898684)]
[(0.65107231835424895, 0.0039267198739953504)]
