[(0.57458445125162694, 0.0043736028423512537)]
[(0.69462453543925518, 0.0033526515689249964)]
[(0.69120539312326745, 0.0040066589140751079)]
[(0.72286879810257254, 0.0025751707438062964)]
[(0.23076844630238377, 0.0036804154499985591)]
[(0.25681777177714549, 0.0039197207325643068)]
[(0.45075812954568178, 0.0038624143417174193)]
[(0.79327101690925683, 0.0045840214794457997)]
[(0.53419647581882723, 0.0037627405052622106)]
[(0.62999465337306237, 0.0033274887750708165)]
[(0.55091264077914548, 0.0035996777989132063)]
[(0.81326770889355515, 0.003667502339451509)]
[(0.55277828118078698, 0.0033979934535003095)]
[(0.29636015301467167, 0.003646124323701273)]
[(0.58517310105987042, 0.003977672459297062)]
[(0.48399525415072131, 0.0036786644210062467)]
[(0.55142924876788879, 0.0045350749758550401)]
[(0.47418134779242238, 0.0038020995846682884)]
[(0.089095192018119621, 0.004171662313145098)]
[(0.64760757713234285, 0.0041219633239726969)]
[(0.15473197765788108, 0.0032168238612532343)]
[(0.49800895910458748, 0.00434125612043809)]
[(0.3277341303788377, 0.0036105771794567726)]
[(0.61905937729608329, 0.0037696028458443038)]
[(0.38219664543489396, 0.003568684371294839)]
[(0.43547601462912022, 0.0032730399216694809)]
[(0.53884974837428001, 0.0039634357922615389)]
[(0.55241209052069262, 0.0037838182654749597)]
[(0.53335815303447343, 0.0036214022347728055)]
[(0.31735253911523781, 0.0034964064279729527)]
[(0.63325996499787085, 0.0035853220280978302)]
[(0.39694832298336102, 0.0037833106261024011)]
[(0.27463945659772693, 0.0036004774546926077)]
[(0.44099632815706746, 0.0035728117254251431)]
[(0.45386912218331865, 0.0029248570486972289)]
[(0.67123160147102079, 0.0037684982914539182)]
[(0.67209033712471999, 0.0038248179502073515)]
[(0.16222650762515678, 0.0031175085827959987)]
[(0.64748596004475267, 0.0037148756680852623)]
[(0.67471868653985589, 0.0034679152882438466)]
[(0.66449086523088041, 0.0044295056423202528)]
[(0.26279191845942396, 0.0037750980479915896)]
[(0.78674365737072938, 0.0032559844624310721)]
[(0.39740811174273233, 0.003970465169578127)]
[(0.69079349265449019, 0.0037508792370857945)]
[(0.63154560318604369, 0.0036086653699819865)]
[(0.54381273909949468, 0.0045601154704399986)]
[(0.45812691054547922, 0.0031757402765302681)]
[(0.29917929479867944, 0.0038517552449859392)]
[(0.28883860590927957, 0.0033838044060036706)]
[(0.28880327719101107, 0.003754727478824495)]
[(0.67088965892377572, 0.0028683558429231713)]
[(0.53861611586494051, 0.0040619984863998967)]
[(0.50610255215574784, 0.0035973149892602843)]
[(0.66765746692670214, 0.0043459069726747481)]
[(0.57726277773076085, 0.0030566341376066205)]
[(0.661090120357405, 0.0032056687005649824)]
[(0.58517349787600559, 0.003625527089959675)]
[(0.47706115728931803, 0.0040094778434134276)]
[(0.82084462142545267, 0.0032199081738924877)]
[(0.37865219679956508, 0.0036010668767861996)]
[(0.33968270790109512, 0.0039262090168052559)]
[(0.77467774477016227, 0.0023725740302983139)]
[(0.49738206844868327, 0.0036191646598940255)]
[(0.47569632105290949, 0.0034740929458920719)]
[(0.7291146369315773, 0.0038520200291014424)]
[(0.64782365507005157, 0.0038626002102852826)]
[(0.57810507898524699, 0.0037721172383536126)]
[(0.43293142707871379, 0.0040731197772875824)]
[(0.38507315690542443, 0.0037757415682049419)]
[(0.48967828934538993, 0.0042590091413295048)]
[(0.38167244023245434, 0.0036301819578040354)]
[(0.26470590819415402, 0.0038895119682170183)]
[(0.51425492224835534, 0.0036540845460554905)]
[(0.3568598850594264, 0.003578171877970597)]
[(0.89697309802378011, 0.0026709800129113823)]
[(0.59344325059226999, 0.0032719386495996539)]
[(0.40283547549862608, 0.0036816273804706739)]
[(0.72945629297762171, 0.0037284015302646773)]
[(0.59208810792072775, 0.0037689535939876362)]
[(0.35353928595002521, 0.0033995333792812116)]
[(0.62515307503379691, 0.0040730350624364189)]
[(0.42584903086253478, 0.0039436088889429309)]
[(0.340159271864095, 0.0038531831890445153)]
[(0.130602863096279, 0.0038533698573519309)]
[(0.47524973622686795, 0.0030707880541030234)]
[(0.47513212893471335, 0.0032787592010679783)]
[(0.43436101316579423, 0.0041892090603164222)]
[(0.93802630389457731, 0.0025976164448819625)]
[(0.68686561604072716, 0.0041054381718929108)]
[(0.5201275502131204, 0.00370518103299316)]
[(0.79582911992856464, 0.0029704260283002584)]
[(0.92075563491504109, 0.0028029448347649264)]
[(0.58536810834168596, 0.0034320897064618128)]
[(0.80724483810409176, 0.0038314099284352029)]
[(0.14969601992142056, 0.0031687874811626338)]
[(0.33104883560875853, 0.0043003155272302871)]
[(0.70368930398301832, 0.0036793752545585989)]
[(0.91097592458056154, 0.002891438507545471)]
[(0.64536194949203596, 0.0034869729294651165)]
[(0.75794430154387049, 0.0045933603582797508)]
[(0.47344110217300445, 0.003650189511114536)]
[(0.64665180712385684, 0.0034288541735709296)]
[(0.52358231112327858, 0.0039570701154425575)]
[(0.54049761721297573, 0.0039904560142601311)]
[(0.34643242030509469, 0.0040897215135198197)]
