[(0.79156638037355231, 0.003338659115262124)]
[(0.35547030500389226, 0.0033175560014692533)]
[(0.65555860655553921, 0.0033830157529066919)]
[(0.17012378341921772, 0.0036076994321369632)]
[(0.53555008749268684, 0.0029834732875140507)]
[(0.68589631895408787, 0.0037675072257114619)]
[(0.3320682239867484, 0.0034300440594411011)]
[(0.11086116863435447, 0.0033941859603728473)]
[(0.33780176822306496, 0.0039894461111895669)]
[(0.13594532713310944, 0.0032176196878375262)]
[(0.59245308938274199, 0.0037661328368905813)]
[(0.58566908066864198, 0.0038593281111690457)]
[(0.56279805997593901, 0.0036703947335423245)]
[(0.70923736589739172, 0.0024056333155573466)]
[(0.60899078983933486, 0.0042245454055730939)]
[(0.66960612140664344, 0.0041926521924939356)]
[(0.4249253501333366, 0.0040368368642163879)]
[(0.74704517344882071, 0.003853024177204309)]
[(0.29575163497848161, 0.0035816443315795123)]
[(0.22729959325622301, 0.0032920091546969374)]
[(0.26660699919278458, 0.0036870560374880545)]
[(0.54583348655845598, 0.0036695972790326031)]
[(0.62279442422244513, 0.0035736304696331171)]
[(0.76630725916567866, 0.0035065348007156045)]
[(0.65496629491670311, 0.0034189156750118774)]
[(0.33772889728067368, 0.0037946307858597078)]
[(0.46111568507050987, 0.0041284612327584505)]
[(0.32001596117450548, 0.0041486521224444149)]
[(0.39608985355028797, 0.0037666813665963041)]
[(0.49314163102855946, 0.0037231902341639963)]
[(0.70867885457388957, 0.0027382812936759642)]
[(0.64799725309590261, 0.0042500928435890827)]
[(0.34413172052974217, 0.0013392732983926305)]
[(0.47163860491052095, 0.0039667214980120867)]
[(0.33298737146633611, 0.0038371443143268044)]
[(0.6984782021356416, 0.0035179167321849306)]
[(0.49029855300238767, 0.0036820724476991857)]
[(0.14727925897486932, 0.0038385238034412319)]
[(0.058586352881497973, 0.0031675828085455673)]
[(0.37665802730783909, 0.0031244811999252553)]
[(0.78060315403821989, 0.0036539729710114389)]
[(0.77335763490854015, 0.0038324844823801078)]
[(0.31103184791318461, 0.0036343845988030788)]
[(0.43081060331583132, 0.0031057994610417692)]
[(0.35331518163042391, 0.0034183157394646318)]
[(0.35260887650414297, 0.0038732147398837127)]
[(0.38801826276507323, 0.0033790757869958869)]
[(0.052955017752580123, 0.0042078138457419655)]
[(0.51198421633013047, 0.0029009590587290336)]
[(0.35657077729983455, 0.0036741967158647783)]
[(0.43080210077168635, 0.0033448282464005126)]
[(0.67343006226457025, 0.0042866877111369071)]
[(0.7119511361731129, 0.0040841019485398063)]
[(0.45941347509048608, 0.0034601133593496073)]
[(0.45490577566121815, 0.0040549796399875007)]
[(0.73854938226806222, 0.0036623844886772209)]
[(0.80646709671083328, 0.0036753610139443047)]
[(0.42331868702653741, 0.0036699872667050643)]
[(0.30600787394811935, 0.0037849189554653826)]
[(0.52707499744966191, 0.004340195617698322)]
[(0.50349322970423704, 0.0040065607888687283)]
[(0.43567537789490712, 0.0036919829666689531)]
[(0.18837826025663559, 0.0033797829336068685)]
[(0.59890773641096096, 0.0044065592598947064)]
[(0.49035634941988793, 0.0036277246181845389)]
[(0.3420845446575152, 0.0035136384725332776)]
[(0.66581114918893691, 0.0036352737797454107)]
[(0.70340503772331309, 0.0035845583933640087)]
[(0.20009769360019355, 0.0034820686188449671)]
[(0.64749784316452696, 0.0042440561754436583)]
[(0.18617142151398144, 0.0032330419968394941)]
[(0.48017442849192571, 0.003722768072415698)]
[(0.22867654740455889, 0.0036446211134960171)]
[(0.66145576142644702, 0.0035212310991746504)]
[(0.42077307554504206, 0.0039517727710655683)]
[(0.58322562853098947, 0.0043545017692574357)]
[(0.55898957710355235, 0.0041279870646609733)]
[(0.80389538191174814, 0.0029209146889449464)]
[(0.28740510374537975, 0.0036377803542866653)]
[(0.63797334509803583, 0.0038701744701266738)]
[(0.65422663229325473, 0.0040779928939988584)]
[(0.59299093350872389, 0.0038657175101345469)]
[(0.62085817884689243, 0.0039943477461970829)]
[(0.56990796515402042, 0.0034681450551749243)]
[(0.50740441216261856, 0.0034671471833482644)]
[(0.31511916424298153, 0.0038265823712193723)]
[(0.71231419590065181, 0.0042405751321953249)]
[(0.43106580979777542, 0.0037550979511207822)]
[(0.49095436269090775, 0.0034633418470709789)]
[(0.70667857478196205, 0.0035209637786268238)]
[(0.3933336205705753, 0.003018157388127152)]
[(0.73066187973745089, 0.0045831685546374517)]
[(0.59508158079821405, 0.0039785633809041017)]
[(0.6675419517029042, 0.0041971039248270741)]
[(0.43241439527522441, 0.0038353102261393783)]
[(0.34208553246458689, 0.0040297344976473583)]
[(0.95185555337095518, 0.0021463212941970917)]
[(0.77264837854627866, 0.0035656239185428828)]
[(0.23423754027660371, 0.0036527138674464438)]
[(0.45650051624978416, 0.0035307327053035174)]
[(0.64920113621290199, 0.0034381701160987915)]
[(0.37200034218872829, 0.0030961221388537889)]
[(0.77491564679928182, 0.0038746525692905398)]
[(0.5033671386701406, 0.0044362694347439635)]
[(0.13900251978699416, 0.0034177397184915023)]
[(0.52863094834381219, 0.0037945390545841206)]
[(0.4722466908068364, 0.0037051916266106154)]
[(0.65647654252639442, 0.0041514888411421933)]
[(0.75630301796751809, 0.0036389697763991591)]
[(0.75984216097610768, 0.0039314757465977691)]
[(0.56346646090056218, 0.0038937874765933157)]
[(0.84873269255639727, 0.0035219200943436431)]
[(0.41219713325653207, 0.0041045534246722734)]
[(0.60254557661638153, 0.0047137497463815283)]
[(0.79989536581852816, 0.0039105443386756641)]
[(0.44273403978773734, 0.0035230482689623038)]
[(0.67194230827783386, 0.004384791631807842)]
[(0.30466125200136684, 0.0038198908628799787)]
[(0.58070804924202168, 0.0039503645584892041)]
[(0.5859009653353594, 0.0042087590270025056)]
[(0.80097687477951041, 0.0036197842771853268)]
[(0.47975867885584117, 0.003899620238603089)]
[(0.5522145428478169, 0.0041775193748002145)]
[(0.45265209355614106, 0.0036251866018183515)]
[(0.60287923264605692, 0.0039320100277616008)]
[(0.40848392216092816, 0.0037919956136493369)]
